,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,LINC02163,LINC02156,TFAP2A-AS1,AC011374.1,AP000251.1,AF127577.3,SLC2A1-AS1,ADAMTS9-AS1,AC083973.1,AC027228.2,AL513123.1,SOX21-AS1,PVT1,SFTA1P,AC080037.1,AP003119.2,LINC00393,LINC00887,AL355388.1,LINC01698,LINC00355,AC026785.3,AC012213.4,AC114489.1,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,AP003469.2,AC105219.4,LINC00392,AC138305.1,AC234772.2,AC012213.1,MAGI2-AS3,NAALADL2-AS2,AP000438.1,AP003721.1,AC025244.1,HOTAIR,LSAMP-AS1,C10orf91,AC096759.2,AC003958.2,MED4-AS1,LINC00520,SLC12A9-AS1,AC074194.1,LINC01208,AC093510.2,LINC01063,MIR130B,AC006238.1,HOTTIP,AC083880.1,PART1,AC010789.1,AC092115.3,LINC02323,LINC00470,LINC02321,LINC00592,BCRP3,AC005736.1,UCA1,AC002066.1,AC002116.2,LINC02014,LINC01968,LINC00337,MIR31HG,MIR137HG,AC022075.2,AC120498.4,AC090970.3,AC005722.2,AL163952.1,LINC00462,LINC00472,LINC00163,AL049649.1,LINC00461,LINC01460,AP002478.1,AC093904.4,ATP2A1-AS1,KCNH1-IT1,AC087667.1,GDNF-AS1,LINC00705,AC079467.1,LINC00536,C1orf132,AL353693.1,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,LINC02560,AC008011.2,AL033527.5,AC010913.1,LINC00896,AC093904.2,LINC02289,MUC2,LINC00173,U62317.2,AC061975.6,MLIP-IT1,AC012640.1,AC012625.1,LINC01629,AC073352.1,AC025211.1,AC130456.2,AL161785.1,MYO16-AS1,AC023824.4,NOVA1-AS1,WNT5A-AS1,LINC02527,AL139039.3,RBMS3-AS3,CASC11,ERVMER61-1,AC135178.1,AC090192.2,LINC00992,LINC00518,LINC00184,LINC00211,LINC00840,AC243773.2,STEAP2-AS1,AC089983.1,WASIR2,AC103740.2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC009275.1,LINC02387,AC006305.1,LINC01214,MIAT,CCDC26,LINC02454,AC036214.1,AL160408.1,HCG21,AL021395.1,AL357518.1,GS1-24F4.2,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL358394.1,AC100801.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,AC024592.2,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,AC078923.1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,AC138627.1,LINC00443,AC069439.2,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,LINC00973,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,Z98257.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-33-AASJ-01,7617,201,90,100,21,54,25,61,181,188,33,31,92,31,65,19,570,3570,9,18,28,1660,30,2,27,0,0,30,28,1073,2,83,71,10,95,1103,37,90,24,36,56,0,8,7,5,3,262,3,34,3,58,41,58,22,1,78,10,2,0,46,203,0,58,68,1,28,106,1,7,24,8,31,103,28,5,15,4,18,1,17,55,3,8,16,1,2,2,29,7,82,22,53,6,6,11,0,3,25,33,0,1,12,0,79,58,58,60,31,6,15,3,20,189,21,1,4,11,2,17,6,7,0,2,90,0,0,48,6,11,0,20,0,0,0,93,3,10,0,0,1,3,32,6,0,2,153,6,12,3,0,2,1,417,13,1,9,53,0,34,0,14,0,0,0,7,0,1,0,226,2,0,26,5,1,3,1,5,1,0,2,1,1,1,6205,7,0,0,5,4,12,0,14,0,0,2,2,11,0,0,5,0,0,1,3,0,4,45,15,0,0,0,4,1,0,0,0,2,0,0,0,0,0,2,2,1,2,8,1,1,2,2,1,0,3,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TCGA-33-AASL-01,3582,507,408,74,4,76,41,43,217,4,58,53,1,29,41,32,623,1870,6,77,38,2,58,0,2,1,54,3,1,379,0,61,64,12,67,1,26,25,3,51,42,1,23,98,111,56,40,9,5,1,61,17,18,8,1,31,5,13,2,28,77,1,13,15,223,10,6,10,4,108,14,33,82,10,5,21,15,12,0,25,27,17,23,315,0,2,6,19,2,176,5,4,10,50,6,1,4,109,6,4,43,23,2,53,131,9,17,16,13,26,7,7,162,39,2,26,4,21,0,13,7,0,1,0,0,73,28,0,1,4,6,3,0,8,131,1,19,0,0,1,8,11,7,0,10,124,0,6,42,0,0,2,786,96,5,22,21,0,29,0,8,0,1,0,8,4,5,4,22,4,0,12,0,3,1,0,4,4,0,0,1,0,0,120,5,0,1,4,3,0,1,2,10,3,0,1,7,1,1,1,0,0,49,4,2,1,1,10,1,0,0,2,1,0,0,0,7,27,4,1,0,0,0,3,1,4,23,1,0,0,3,0,3,4,0,1,0,1,2,1,0,0,1,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
TCGA-34-2596-01,3591,1765,292,269,28,36,73,21,186,41,100,55,16,24,59,37,707,631,31,19,64,7,27,3,1,0,215,23,20,6935,1,100,28,42,43,0,48,38,31,2890,19,2,54,26,21,78,57,6,3,0,6,13,51,29,7,63,14,3,25,145,486,0,17,5,291,7,20,10,16,8,13,5,23,17,15,23,44,34,12,60,200,6,4,110,1,29,92,16,32,1,11,7,13,9,4,2,4,53,16,6,4,3,15,145,9,24,10,153,51,2,16,1,126,8,11,1,7,9,0,77,9,4,25,1,1,85,837,21,9,130,2,8,0,5,182,2,2,1,4,0,4,11,23,1,10,1134,13,1,55,8,5,0,1279,26,9,11,1,0,35,0,11,0,18,0,7,5,1,19,11,4,1,6,3,0,1,4,4,1,0,2,34,0,0,243,2,0,0,2,28,0,13,0,0,2,0,2,3,1,1,0,1,0,0,5,0,6,4,9,3,0,0,0,7,0,0,1,2,17,3,0,0,0,2,3,4,7,5,0,0,26,2,0,2,2,0,15,4,0,2,3,1,0,4,0,50,1,6,1,2,0,0,1,0,1,1,0,0,0,0,4,2,0,0,1,0,0,0
TCGA-34-2600-01,4025,524,558,186,16,239,56,64,275,35,74,192,8,57,4,34,2471,361,106,42,27,23,74,1,3,104,0,5,3,381,0,47,40,54,17,2,71,268,1,157,7,1,17,17,14,132,112,28,28,3,5,42,66,70,8,30,23,8,0,34,65,132,0,27,679,11,8,5,11,122,9,17,135,28,6,0,0,103,4,22,12,1,0,51,2,55,5,1,0,8,15,0,35,3,6,14,0,71,15,4,6,42,1,152,141,5,31,25,31,3,68,2316,21,5,3,48,7,12,0,25,19,4,18,33,235,97,60,4,0,41,7,424,0,6,27,0,7,0,8,0,17,0,6,2,4,207,29,34,21,5,6,6,114,9,5,3,14,0,0,0,34,1,4,0,17,121,0,4,76,2,2,6,2,0,2,0,1,3,2,4,6,0,6,33246,17,1,0,1,4,19,1,1,2,3,0,4,22,0,0,1,20,0,0,8,0,0,330,15,1,1,5,0,5,1,0,6,1,4,18,1,0,0,2,5,2,1,3,0,0,16,0,0,2,1,0,4,2,0,9,0,2,0,0,0,10,1,0,0,0,0,3,0,5,0,6,0,0,0,0,5,0,0,0,0,3,0,0
TCGA-34-5234-01,2481,6,56,8,74,32,103,6,70,21,0,60,28,99,35,10,106,509,1289,61,12,6,17,0,1,41,10,4,17,233,0,47,11,5,2,0,1,35,4,1424,4,11,21,4,1,0,14,0,1,0,71,52,16,1,3,12,9,4,10,13,25,0,58,41,1,12,66,4,132,13,24,7,9,3,16,504,0,25,73,17,45,12,11,106,4,2,1,29,31,20,19,3,5,6,16,107,5,41,2,5,3,2,1,34,42,1,11,17,2,21,45,5,9,53,0,10,0,1,46,1,3,41,57,27,0,0,73,1,15,84,12,4,0,11,35,24,22,7,48,14,6,50,12,13,4,19,208,103,256,2,7,12,78,23,128,4,28,0,1,1,8,1,371,0,0,1,14,0,11,7,0,2,0,0,134,0,194,3,2,1,1424,0,0,97,0,4,4,32,50,3,0,0,38,0,2,0,0,0,0,0,66,0,1,10,17,6,4,0,5,21,0,0,0,0,13,3,1,4,20,3,0,1,0,12,12,3,0,3,0,3,78,14,1,0,1,0,4,11,1,0,3,0,0,26,0,0,3,0,1,1,41,0,0,0,0,3,0,0,0,0,2,4,0,4,0,1,0
TCGA-34-5240-01,3595,336,241,455,12,78,37,14,143,37,433,45,14,21,55,60,512,278,27,11,80,33,43,0,1,0,51,7,29,2323,1,215,18,9,18,0,18,55,6,1002,24,0,110,24,0,5,17,54,1,0,50,16,22,10,5,117,12,5,2,27,204,0,38,2,412,17,231,2,19,5,9,34,166,25,17,185,3,5,57,46,8,5,12,80,0,0,4,15,187,8,52,0,3,28,5,3,3,16,41,0,0,1,21,110,16,1,1,23,12,4,260,1,6,37,0,22,0,12,1,1,5,1,20,26,0,0,84,22,7,10,13,0,0,7,180,0,5,1,4,2,1,781,4,1,2,13,18,35,126,3,1,2,2052,2,3,6,5,0,0,0,0,0,5,0,3,0,0,0,9,1,0,1,0,0,5,0,32,0,0,1,47,0,0,231,1,0,0,10,1,14,0,4,0,0,0,1,2,1,2,1,0,0,0,5,2,35,5,0,4,3,0,0,0,0,0,0,0,1,3,2,0,5,0,0,1,2,0,0,0,13,7,0,2,1,3,0,2,1,1,0,0,0,0,0,1,7,0,0,1,0,2,0,1,1,8,1,0,0,0,9,0,0,0,0,0,0,1
TCGA-34-5241-01,3732,129,289,125,48,65,671,37,918,30,68,185,21,79,54,3,356,507,245,91,41,4,58,0,11,81,12,13,76,425,1,99,5,19,25,3,101,155,20,992,8,0,67,140,19,61,88,79,3,0,17,48,24,4,4,50,6,2,4,17,11,1,58,28,152,38,7,0,36,53,13,28,90,2,189,43,340,13,203,54,552,1,1,129,1,4,5,54,89,50,11,3,3,47,37,37,1,24,26,4,16,5,13,35,33,50,8,9,7,34,44,4,15,53,11,1,3,13,97,13,6,5,51,13,74,6,71,48,18,78,14,4,0,146,60,2,7,8,10,0,11,70,0,7,0,37,90,256,108,34,2,11,144,2,114,49,21,0,0,1,8,1,14,0,1,0,0,0,5,8,0,1,0,0,55,0,25,1,1,6,45,1,0,60,11,0,1,2,23,1,0,0,3,0,2,0,1,0,0,1,36,0,1,188,1,1,21,1,11,12,0,0,4,0,1,0,4,1,14,2,0,3,1,91,2,2,1,0,1,5,5,1,1,0,10,0,2,0,0,0,2,0,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TCGA-34-5927-01,3883,9535,481,141,25,8,63,68,19,57,101,119,4,24,111,32,3953,1510,47,169,57,105,27,2,10,297,0,23,15,756,1,91,23,23,110,3,95,54,32,1576,9,19,30,23,30,75,283,15,67,3,3,23,8,54,10,24,19,4,1,100,292,143,7,4,3,13,38,4,8,61,28,10,25,68,30,41,184,65,4,52,1492,17,23,426,0,19,5,34,12,23,60,2,11,22,4,12,11,99,5,4,5,13,71,46,82,26,67,12,49,4,21,142,22,1,221,4,5,2,1,11,2,12,20,145,21,133,191,14,7,10,16,1234,0,2,279,113,44,1,3,18,11,6,0,9,9,346,197,24,40,28,6,1,2108,11,10,33,75,0,0,0,15,8,0,0,7,0,1,1,77,1,0,4,0,4,5,0,18,0,0,29,2,0,17,65607,3,1,2,117,7,14,11,11,17,2,2,2,5,0,9,26,14,0,2,34,2,2,11,8,4,0,1,0,5,0,9,0,0,2,171,4,9,0,3,1,5,10,8,5,0,174,18,2,3,1,0,0,0,1,19,2,1,3,1,0,25,7,1,0,8,5,2,0,5,3,208,0,1,27,1,134,0,0,1,0,4,0,36
TCGA-34-5928-01,8994,614,320,168,61,83,34,31,61,107,32,68,48,37,55,0,417,525,57,0,39,1,74,1,11,35,2,16,2,218,4,55,10,46,110,0,1,35,14,1923,24,0,16,7,115,26,117,5,1,2,11,18,66,12,5,18,13,7,15,43,46,422,0,42,415,25,14,2,28,16,9,8,54,30,30,74,110,0,0,30,3,0,0,111,1,1,6,32,7,21,12,2,31,11,34,8,6,83,4,1,0,16,0,40,48,9,15,12,19,2,54,36,36,8,24,4,2,2,17,2,1,0,272,2,0,31,193,20,6,54,9,28,0,32,5,0,5,11,9,78,5,1,3,6,1,1268,14,61,45,0,1,5,791,1,47,35,1,0,1,1,23,0,0,0,2,3,10,17,90,16,1,23,4,0,16,16,6,0,0,0,2,0,207,4614,0,2,0,4,12,1,0,0,8,7,1,1,0,1,1,3,0,0,7,31,1,0,7,22,73,2,3,0,9,0,3,0,11,109,3,12,0,3,0,11,6,5,6,0,8,10,8,3,0,1,15,3,6,0,3,1,5,1,1,0,1,0,0,4,2,0,2,1,0,1,11,0,0,0,0,4,1,1,0,3,2,0,0
TCGA-34-5929-01,10323,257,363,188,13,156,62,83,108,126,33,93,13,116,306,38,2211,887,128,195,32,32,0,0,63,41,1,15,5,1481,0,141,52,12,23,6,50,33,3,474,361,3,56,26,81,60,295,14,5,1,19,34,118,3,4,38,26,1,3,54,28,216,5,34,762,25,20,15,41,33,13,21,21,2,30,17,13,16,2,78,479,2,39,279,22,1,9,221,7,5,26,2,11,11,1,14,0,62,3,0,3,0,55,53,132,61,28,18,11,3,26,515,23,161,687,2,3,20,0,8,14,1,22,3,1,0,169,419,10,27,17,13,0,0,174,105,9,2,3,8,16,2,2,18,6,63,29,7,6,23,2,1,358,2,6,7,70,0,0,2,2,0,0,0,1,55,2,2,17,5,0,3,0,12,8,0,6,0,2,36,0,0,16,3662,0,1,0,357,13,2,0,10,10,3,1,2,8,0,0,8,24,1,1,7,0,2,286,14,6,2,0,0,4,0,1,4,1,19,38,3,27,0,0,0,2,12,3,3,0,43,7,0,225,0,1,0,0,0,14,4,0,0,0,0,6,2,0,0,0,23,0,3,2,2,168,1,0,21,0,71,0,0,5,0,0,0,0
TCGA-34-7107-01,3764,560,300,46,11,38,109,44,294,39,22,48,37,31,51,47,620,835,31,47,72,531,44,1,20,0,5,24,29,1463,1,81,28,17,29,23,85,108,62,533,24,1,30,21,20,4,172,0,13,3,373,52,69,2,1,65,9,1,5,28,8,0,72,30,95,21,152,6,26,35,10,14,10,42,11,3,0,12,18,12,269,57,76,66,1,7,0,23,8,40,22,5,11,5,2,1,1,51,18,2,10,26,1,35,52,51,31,18,20,10,14,7,76,40,13,18,2,23,1,5,4,0,30,1,223,1,123,12,8,1,67,9,0,8,68,0,80,3,25,2,5,7,9,3,60,527,16,37,21,1,5,1,361,16,0,18,98,0,22,0,19,0,0,0,1,67,0,2,52,4,1,1,0,4,1,0,24,0,0,57,2,0,0,1223,4,3,1,7,6,2,1,1,0,1,3,15,1,0,1,5,6,0,5,12,2,1,28,2,4,1,0,4,16,0,2,1,6,1,0,3,0,0,1,6,0,3,4,0,1,0,4,0,1,1,0,0,1,0,2,2,0,0,0,0,8,1,2,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1
TCGA-34-8454-01,8079,4,240,121,27,24,61,17,32,34,13,37,32,68,14,5,478,593,136,48,26,5,47,1,12,0,0,0,5,167,0,64,14,11,28,1,39,37,0,465,0,0,6,0,0,0,142,1,16,2,13,28,89,0,4,34,6,3,0,9,49,192,12,25,0,10,13,2,32,2,7,6,15,3,19,1,38,26,0,8,8,41,1,64,1,97,61,12,1,27,17,1,4,4,5,2,1,125,3,3,12,4,1,22,35,1,22,6,8,11,16,4,18,18,0,4,2,11,0,1,4,14,33,0,0,0,28,2,11,16,3,4,0,6,21,2,7,4,6,0,8,3,10,0,0,85,84,19,30,1,1,0,746,21,0,2,3,0,0,0,8,0,10,0,0,2,0,0,0,11,0,1,0,1,14,1,32,0,0,1,38,0,0,238,2,0,2,2,30,2,0,2,32,1,0,3,13,1,43,0,28,0,0,0,0,0,14,0,3,4,3,0,0,1,1,1,0,0,3,2,0,0,0,2,0,8,0,0,0,0,4,10,1,0,0,0,37,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
TCGA-34-8455-01,7768,39,16,1,13,1,51,15,461,10,0,67,10,68,61,2,618,679,101,66,30,5,49,0,5,0,1,5,15,165,1,67,6,10,26,0,103,29,12,370,3,1,5,0,0,5,21,0,2,0,13,22,28,2,0,13,8,4,4,12,17,0,38,29,1,3,15,3,7,8,19,1,28,5,5,404,10,23,18,41,18,2,2,58,1,3,0,3,8,25,10,1,18,42,14,14,0,113,3,1,20,1,5,6,23,35,3,5,12,15,14,12,5,21,0,2,0,0,39,6,4,3,71,6,0,0,66,0,10,6,6,0,0,2,20,0,7,1,4,0,3,5,1,2,0,2,35,46,126,2,1,0,248,8,21,24,9,0,1,0,14,2,2,0,4,3,3,0,17,2,0,0,0,0,11,0,2,0,0,2,1,0,0,860,1,0,0,0,18,0,0,0,14,0,0,3,0,1,1,0,38,0,0,20,3,1,9,0,9,6,0,1,0,0,2,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,1,7,0,0,2,0,26,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
TCGA-34-A5IX-01,5277,200,108,159,4,14,30,20,27,17,33,19,2,23,33,23,9,718,89,0,12,3,34,0,2,0,8,60,0,30,2,54,25,2,14,1,4,22,17,119,146,0,18,0,24,6,17,1,2,0,61,15,6,13,0,12,2,4,3,5,0,0,0,16,125,6,8,1,1,111,15,15,8,11,9,44,96,0,1,6,2,3,0,131,1,1,8,3,0,1,24,0,8,2,13,14,2,48,0,0,8,14,5,12,33,3,47,8,13,1,3,1,8,59,0,3,1,0,0,6,1,1,5,236,50,0,14,4,2,4,1,1,0,0,0,9,9,1,2,1,1,0,5,4,0,689,24,8,39,0,1,0,144,12,3,1,5,0,67,0,8,1,0,0,4,1,28,0,2,0,1,2,0,1,542,0,0,1,0,0,2,0,0,58,3,0,0,0,9,1,1,0,0,2,0,1,2,0,1,1,1,0,1,4,0,0,2,0,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,3,4,0,0,0,11,0,12,7,31,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0
TCGA-37-3783-01,5430,38,374,455,4,80,92,14,272,49,74,34,7,41,58,24,30,1009,12,330,6,9,51,0,43,201,4,31,29,230,0,42,28,9,16,1041,6,36,8,347,2,0,2,9,32,69,78,45,4,0,560,113,36,4,0,39,5,5,0,13,3,11,16,86,92,14,43,0,19,0,23,15,18,2,74,77,41,0,0,9,2,81,48,26,0,2,4,0,1,4,18,0,0,4,20,0,0,112,1,3,10,5,7,10,20,2,48,5,11,5,13,1,17,124,3,11,2,8,7,1,10,1,19,0,0,0,8,7,1,43,11,102,1,258,6,0,31,4,14,1,4,1,6,5,3,85,0,2,89,2,0,0,73,83,10,7,5,0,0,0,8,0,12,0,0,1,29,5,55,9,0,1,0,3,579,0,41,0,0,6,28,0,2,167,4,0,1,6,0,1,4,0,21,6,0,3,6,0,28,0,0,0,0,0,1,7,1,0,2,0,8,0,0,0,1,0,3,22,1,0,0,1,0,0,1,0,0,0,0,1,7,4,4,0,0,0,7,0,0,0,0,0,0,0,4,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,43,17,3,0,1
TCGA-37-3792-01,1016,1,2,1,7,0,15,32,12,64,0,22,11,21,95,1,13,749,288,18,20,0,28,2,0,1,11,21,0,11,0,27,107,9,21,0,0,17,11,292,6,0,34,1,2,0,337,0,0,3,4,15,22,16,3,40,5,11,29,15,0,262,56,110,4,17,43,5,165,87,16,38,13,38,58,1586,4760,0,32,15,15,4,2,2717,0,0,33,143,16,73,9,1,2,1,42,0,1,37,7,9,10,1,20,46,6,2,33,5,3,15,17,106,33,138,0,0,6,15,89,3,0,153,36,11,0,0,9,0,21,13,1,6,0,0,6,3,11,25,9,6,5,91,16,50,8,4,0,16,49,10,3,2,224,14,26,0,5,0,0,0,1,0,5,0,3,0,3,0,0,3,0,2,0,0,1934,0,352,0,0,0,1,0,0,260,14,0,2,10,22,0,0,0,5,0,0,7,0,2,9,2,0,0,0,0,0,0,3,0,2,0,4,0,0,0,1,1,0,1,2,2,0,1,0,0,1624,0,0,0,1,0,308,1,4,0,3,27,46,1,0,0,24,0,0,4,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-37-4130-01,11,10,11,18,26,64,14,0,0,2,53,71,4,8,5,33,1,291,66,20,1,273,4,0,0,133,2,4,5,16,0,11,47,1,7,0,21,63,0,124,0,3,9,42,0,6,0,14,0,1,6,32,0,1,3,9,9,0,9,13,13,151,39,18,204,8,3,0,8,15,8,22,21,1,107,3,0,6,5,7,9,23,28,186,2,4,1,0,265,4,11,0,3,145,0,0,5,60,0,8,3,4,3,4,0,0,16,0,7,3,23,2,28,24,29,0,13,28,1,15,12,0,6,0,0,164,4,13,0,1,11,30,0,40,82,3,5,0,4,0,0,0,1,1,9,3,2182,0,0,6,3,7,822,12,0,2,0,0,0,0,28,3,7,0,8,0,0,0,0,1,0,39,0,13,5,0,17,0,0,0,7,0,0,2943,1,0,2,1,2,27,2,0,2,0,0,2,3,0,0,1,0,1644,1,2,0,0,0,0,8,0,0,0,1,0,1,0,6,212,0,0,0,0,0,3,1,1,2,5,0,0,30,0,0,1,0,1,0,3,4,0,0,0,0,1,12,0,0,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TCGA-37-4133-01,27650,411,90,204,18,159,35,43,311,88,140,24,16,57,22,31,498,1166,60,112,59,0,84,0,1,196,45,58,103,1366,0,8,25,13,15,2,37,91,15,261,15,0,40,3,0,4,32,10,0,0,3,64,36,20,0,74,20,0,1,24,222,5,51,25,13,132,118,1,13,0,82,41,245,22,69,65,19,44,7,15,13,23,7,105,0,2,0,224,126,6,33,1,7,9,24,12,2,41,7,3,0,1,21,46,3,3,23,81,9,5,6,1,28,9,31,11,9,2,0,16,0,3,30,30,9,56,107,38,78,60,13,0,0,1,6,0,5,2,2,2,19,320,38,2,5,3,17,3,148,1,0,1,61,11,0,18,9,0,39,0,42,2,2,0,11,0,2,5,1,1,0,8,0,0,6,0,29,1,0,0,9,0,2,19,0,1,0,3,6,13,2,6,0,1,1,2,1,0,0,0,8,1,2,27,3,5,14,30,0,1,36,0,2,0,2,0,4,3,6,0,0,3,0,2,0,0,0,0,1,16,11,1,1,0,0,0,1,0,1,0,8,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,20,0,1,0,1,4
TCGA-37-4135-01,1704,8,141,49,23,209,2,46,2,90,11,61,5,3,89,9,6,1457,53,71,74,892,25,0,6,197,15,0,15,302,0,2,128,8,7,4,5,28,0,329,0,3,9,1,3748,9,12,5,0,3,4,45,20,24,0,128,46,1,0,58,158,222,207,19,84,10,28,5,8,98,3,14,63,6,12,32,2,0,6,14,14,4,0,257,1,0,122,3,120,1,148,1,5,1,6,3,7,99,3,5,0,16,33,163,0,0,18,42,310,2,53,0,20,27,0,0,32,2,2,71,0,8,147,75,63,18,7,9,19,90,31,0,0,7,104,1,0,0,2,3,20,2,81,1,6,1,6,9,144,4,1,0,151,5,5,0,1,0,1,0,4,0,1,0,27,43,0,0,2,0,0,8,0,0,4,0,13,0,0,0,14,0,0,43,0,0,0,2,3,13,0,0,9,0,1,0,1,0,3,0,2,0,2,11,1,9,0,0,4,0,0,3,1,0,0,0,0,0,13,0,1,6,3,0,0,0,0,2,0,0,7,0,102,0,0,1,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,19,0,0,0,0,0,0,0
TCGA-37-5819-01,12,16,203,137,12,0,8,0,6,23,0,63,6,1,239,0,65,822,31,327,58,1,92,0,0,375,16,114,82,127,0,7,53,11,26,0,85,1,28,283,0,1,2,26,5,4,165,13,0,0,10,15,8,23,6,49,32,6,0,26,58,527,86,4,12,17,7,9,7,4,0,42,25,10,148,35,8,2,14,56,4,8,2,14,1,0,19,12,471,4,7,1,4,4,0,0,1,22,2,6,0,12,3,23,7,0,57,10,4,1,5,6,42,8,261,0,10,17,3,59,0,4,26,4,288,46,2,8,3,2,5,653,0,12,203,14,58,3,5,0,1,6,46,2,8,2,5059,5,56,16,3,6,1479,76,1,0,49,0,0,1,0,15,32,0,7,0,0,18,5,0,0,0,0,143,9,5,15,2,1,2,41,0,0,3494,0,2,0,7,945,17,23,0,1,1,7,1,0,0,0,1,5,1,0,1,1,0,1,0,3,3,4,0,4,0,4,1,0,36,2,1,1,1,1,117,0,0,1,0,0,1,13,1,0,1,0,8,0,0,2,0,1,3,0,8,0,1,1,141,0,0,3,33,0,5,0,2,0,0,0,1,0,89,0,0,0,0,0
TCGA-37-A5EL-01,2997,308,235,125,3,0,117,60,248,33,118,60,5,104,59,35,55,1524,28,354,73,19,130,18,20,0,1,148,62,133,0,330,129,44,143,4,23,103,119,46,17,1,9,47,294,1,271,0,2,3,71,48,27,1,0,79,10,18,753,64,0,224,44,87,0,164,62,0,26,104,85,32,153,69,26,81,52,20,483,284,324,106,6,439,1,43,0,89,365,437,42,0,12,9,86,0,0,106,28,10,173,3,71,42,204,53,48,108,37,93,8,81,181,4,2,38,16,7,115,26,13,40,130,62,0,0,6,0,24,48,50,0,2,114,16,1,149,0,0,0,4,44,32,5,12,1,0,25,174,4,1,1,536,10,2,163,441,0,0,0,77,1,6,0,7,1,2207,6,20,4,0,3,0,7,42,0,55,0,14,0,3,0,8,645,3,0,0,14,7,4,1,0,7,4,0,0,14,0,4,3,0,0,8,37,0,17,2,62,0,0,3,5,0,0,1,1,11,1,2,4,0,11,1,0,0,3,7,9,1,0,1,1,0,0,0,0,2,0,0,0,10,0,24,0,0,0,0,15,1,0,0,0,4,0,0,2,0,0,0,3,0,0,104,8,0,0,0
