,RAD54L,CCNB1,PKMYT1,TEDC2,UHRF1,ZWINT,PBK,KPNA2,HOXC13,E2F8,HSD17B6,SHCBP1,ATAD2,HOXA10,MTBP,CLEC14A,PRKCE,HIST1H2BH,HSPA12B,HOXD11,HECW2,LIMS2,TGFBR2,BCL6B,F12,CCDC150,CHRNA5,HOXD10,PREX2,SLC1A1,LIMCH1,LY6K,KRT75,CNFN,HOXC10,UTRN,C3orf67,TMEM100,SPTSSB,TYMS,TSKU,GPD1L,HBA2,LGALS7,ARHGAP11B,CITED2,PTPRM,KLK6,IGFL1,FAXDC2,PDK4,DES,DAPK2,RECK,MYEOV,CCNE2,ESPN,SLC7A11,PLEKHN1,LRRK2,DSC1,SPRR2G,SPNS2,DSG1,ANGPT1,PAX3,PCDH17,DDAH1,NPW,KCNQ5,SLC6A11,TREM1,FOLR1,LEFTY2,GNA14,TRPV3,TBX18,ENPP4,AKAP12,SYT5,SMC1B,LPCAT1,ULBP2,LILRA2,SERTM1,PRDM16,CTAG2,GOLGA6L7,WNT16,CTCFL,CPNE7,PDIA2,SYNGR3,SELE,ANKRD18A,PAGE2,C15orf48,AIM2,BBOX1,PROK2,CYP1A2,PRTG,TRHDE,AGMO,GREM2,HOXA9,TMC5,PNMA5,CAPN8,ELAVL2,CLDN16,PNLIPRP3,RSPO4,KCNB2,TRIM58,GLYATL3,HS6ST3,SPIC,DEFA5,FGF4,PNMA6E
TCGA-66-2754-01,826,10297,733,748,2183,4574,3952,28287,10,703,243,1280,5748,378,460,475,178,186,82,57,241,411,1298,297,142,311,195,373,88,72,1209,171,0,77,78,3222,300,111,68,634,3701,833,166,0,268,1278,850,5,0,845,2160,49,195,150,61,1163,3369,2093,11,646,4,1,450,36,567,1,396,6918,5,19,0,269,140,2,190,5,887,3145,579,117,372,3494,113,37,10,26,2910,9,7,0,159,10,51,13,163,0,55,69,74,6,0,99,45,618,13,37,575,5,304,0,2,0,38,147,222,56,8,0,0,0,0
TCGA-66-2755-01,698,4639,2012,616,2245,4097,984,15701,33,348,173,998,4217,107,764,742,190,160,222,13,983,398,3383,965,66,165,129,81,220,1478,3386,409,86,126,1,2727,135,8,2,306,7168,633,121,13,336,3105,1144,6,112,69,414,4,537,266,678,292,398,2101,73,489,17,393,298,215,216,40,1102,669,18,132,9,2309,14,16,88,22,23,685,740,9,79,6763,584,488,0,29,0,2,4,10,57,596,486,8436,2,4,2792,407,31,75,3,9,92,173,55,30,40,74,7,53,722,1,47,163,9,2,0,22,0,1,0
TCGA-66-2759-01,968,9042,1860,564,1001,2486,929,13893,626,378,248,1332,4566,336,648,530,801,235,136,261,324,648,2657,259,169,119,55,980,129,97,572,338,173,263,613,2154,537,30,40,416,17966,1366,57,816,356,2509,676,142,335,303,127,12,1375,556,136,301,950,18809,606,501,104,11,482,355,164,111,391,652,10,104,35,1352,63,1,41,83,14,944,395,10,54,3711,2389,140,0,200,1,2,3,1,163,9,103,29,26,0,592,291,39,134,0,19,7,33,10,24,50,12,25,0,507,0,4,0,5,0,1,18,0,0,0
TCGA-66-2763-01,1275,6021,1919,335,2345,4529,685,15910,99,329,1096,899,8452,163,718,1125,1574,101,199,347,501,573,3182,904,365,92,141,656,160,883,1117,3151,160,2019,45,3050,252,163,204,1084,5819,5297,179,13,196,3083,1503,9,3,498,318,251,350,604,257,1059,203,290,190,2410,11,36,1636,29,384,15,1241,1303,3,248,80,739,1384,24,201,37,4,644,515,11,168,9775,154,160,0,250,115,2,6,0,158,9,96,71,177,22,534,173,56,8,0,60,5,292,92,10,1326,54,666,69,178,2,26,2,6,0,3,6,0,0,0
TCGA-66-2765-01,459,8050,2280,436,1797,2868,1130,12398,60,578,124,1432,2425,5,300,1233,463,52,192,76,437,475,5201,537,858,47,28,215,105,319,983,1403,330,90,0,2356,415,210,9,350,12130,823,120,244,251,3627,673,18,164,540,251,144,359,256,531,333,1562,315,825,1348,8,4,370,84,92,1,931,734,6,311,1031,1852,900,4,88,119,520,405,512,2,16,9614,1725,260,2,79,0,0,118,1,72,7,45,155,44,0,325,1933,125,15,0,23,2,5,16,3,547,0,277,8,110,2,20,5,18,0,6,0,0,0,0
TCGA-66-2766-01,462,7236,1212,470,1504,5356,1499,10868,371,343,183,1155,3368,188,924,572,588,63,102,94,492,1244,1728,270,1047,199,111,287,44,358,1265,1708,15,86,584,1772,1068,139,483,620,6685,1181,144,5481,105,1810,296,85,24,284,234,37,255,421,18,525,359,13734,162,175,26,12,164,44,368,8,492,728,19,685,120,631,29,2,64,455,673,1482,350,18,76,2445,647,45,1273,403,0,1,32,2,840,9,118,24,91,0,300,45,84,17,1,15,8,38,4,18,64,0,16,0,192,11,133,4,0,0,158,2,0,0,1
TCGA-66-2767-01,586,3487,2126,575,1710,3050,1492,9210,677,539,829,1066,3649,414,495,1877,818,391,413,11,522,1263,6391,787,322,134,79,23,307,1142,2029,510,88,3243,32,4596,325,358,936,803,3206,2498,1445,56,240,4080,1821,43,19,810,1450,387,739,743,1685,288,304,695,339,6375,320,1170,846,534,608,201,899,1418,53,421,1,1410,1768,41,187,298,9,1328,777,13,53,11861,476,291,41,202,2,3,21,3,183,5,205,1105,47,0,364,1410,768,14,4,100,53,232,61,60,558,13,1021,2,758,1,88,90,39,0,3,4,1,0,1
TCGA-66-2768-01,921,6977,4774,1047,1571,5879,1778,16765,1487,1413,137,3239,3742,481,562,678,931,95,195,135,492,749,6308,343,905,213,270,804,89,296,377,1858,2872,411,994,1458,1269,57,65,1168,17902,327,206,279,415,2101,1726,976,2840,199,308,9,697,279,48460,452,1381,1506,719,391,178,40,1360,235,216,97,625,530,1321,329,445,5760,51,0,42,357,42,222,4675,255,46,9975,5301,457,0,199,0,101,222,2,120,20,197,7,54,0,4831,3956,71,125,0,21,48,205,18,28,125,2,13,132,450,637,708,10,79,0,1,0,0,31,0
TCGA-66-2770-01,542,5852,1405,718,2102,2527,2576,11669,308,716,435,1270,4280,102,728,784,661,162,515,438,664,945,4372,530,487,352,76,1390,143,587,1903,180,416,1282,528,5086,253,159,103,802,11573,693,152,37,705,1878,1280,89,13,709,332,105,522,821,31,525,496,10993,406,4318,35,946,935,156,360,3,1189,957,38,327,72,1190,772,7,125,664,1265,647,1174,10,18,9761,252,99,91,652,0,2,2,1,469,10,154,134,50,0,397,1298,205,12,1,54,8,9,24,72,575,4,586,1,27,53,63,12,14,0,185,1,0,0,0
TCGA-66-2771-01,455,5041,1132,241,734,2553,1365,8385,70,222,364,827,2252,62,237,461,627,138,74,54,258,249,3418,264,177,62,105,164,101,608,857,613,34,259,94,1410,297,379,215,310,2366,1903,188,113,183,2940,753,516,57,286,907,113,246,261,388,277,457,205,244,4141,41,26,620,111,562,5,406,911,30,20,16,1442,1508,11,71,54,115,1036,258,267,68,6073,242,336,6,75,26,3,26,0,646,40,794,66,23,0,1948,405,24,38,3,37,18,296,15,6,750,86,623,0,227,2,63,0,10,0,10,13,0,0,95
