,RAD54L,CCNB1,PKMYT1,TEDC2,UHRF1,ZWINT,PBK,KPNA2,HOXC13,E2F8,HSD17B6,SHCBP1,ATAD2,HOXA10,MTBP,CLEC14A,PRKCE,HIST1H2BH,HSPA12B,HOXD11,HECW2,LIMS2,TGFBR2,BCL6B,F12,CCDC150,CHRNA5,HOXD10,PREX2,SLC1A1,LIMCH1,LY6K,KRT75,CNFN,HOXC10,UTRN,C3orf67,TMEM100,SPTSSB,TYMS,TSKU,GPD1L,HBA2,LGALS7,ARHGAP11B,CITED2,PTPRM,KLK6,IGFL1,FAXDC2,PDK4,DES,DAPK2,RECK,MYEOV,CCNE2,ESPN,SLC7A11,PLEKHN1,LRRK2,DSC1,SPRR2G,SPNS2,DSG1,ANGPT1,PAX3,PCDH17,DDAH1,NPW,KCNQ5,SLC6A11,TREM1,FOLR1,LEFTY2,GNA14,TRPV3,TBX18,ENPP4,AKAP12,SYT5,SMC1B,LPCAT1,ULBP2,LILRA2,SERTM1,PRDM16,CTAG2,GOLGA6L7,WNT16,CTCFL,CPNE7,PDIA2,SYNGR3,SELE,ANKRD18A,PAGE2,C15orf48,AIM2,BBOX1,PROK2,CYP1A2,PRTG,TRHDE,AGMO,GREM2,HOXA9,TMC5,PNMA5,CAPN8,ELAVL2,CLDN16,PNLIPRP3,RSPO4,KCNB2,TRIM58,GLYATL3,HS6ST3,SPIC,DEFA5,FGF4,PNMA6E
TCGA-18-3406-01,82,2743,151,82,162,741,693,5999,55,166,161,428,988,124,180,506,238,40,54,59,274,215,2446,244,195,53,34,421,115,207,1449,114,2361,255,320,765,383,126,328,137,1571,389,714,401,47,1497,737,146,14,324,354,46,229,446,3127,144,337,146,159,493,1437,314,97,4315,382,7,804,420,5,46,144,2638,119,11,63,24,9,758,548,208,92,1323,3948,110,7,12,46,3,4,645,94,2,16,500,41,5,640,2279,87,49,0,10,39,214,19,1,260,2,70,0,413,1110,44,0,7,0,5,0,0,1,0
TCGA-18-3407-01,281,2120,694,193,2169,1037,1176,7173,116,187,185,480,1931,174,351,1023,879,126,225,7,557,549,2880,642,242,108,44,29,233,1407,1695,57,32,2212,4,3301,112,42,8,275,8566,740,30,271,221,1698,1170,117,336,534,306,188,529,528,41,269,480,7430,440,2966,11,725,263,105,214,1,1300,1418,5,177,3,1436,823,8,145,66,622,384,1182,0,6,4542,288,71,1,159,5,2,18,6,62,29,26,628,22,0,354,89,107,9,0,75,0,12,32,20,840,3,622,8,21,10,18,17,7,0,71,0,0,0,0
TCGA-18-3408-01,95,1756,22,34,121,1572,1235,5162,251,130,161,384,1528,138,249,513,468,33,44,13,334,100,3295,236,41,48,21,38,152,132,3140,19,0,30,15,2098,233,272,800,200,3482,838,1,2,66,780,469,209,18,300,244,49,150,504,24,254,20,10024,14,2509,20,12,19,57,554,6,1374,700,0,432,1,567,532,5,94,94,760,428,398,3,9,2876,873,52,4,45,8,0,3,1,9,2,18,28,84,0,351,68,124,2,0,31,5,9,35,16,737,0,376,2,41,4,10,20,6,1,643,0,0,1,0
TCGA-18-3410-01,1265,5677,992,517,2070,5189,2878,14553,24,711,129,684,5742,261,1055,454,280,255,91,94,1012,201,1864,424,208,1901,182,653,118,414,588,698,246,646,26,4182,219,21,8,648,5208,746,14,2,288,4876,1692,1,2,193,429,234,510,182,8165,544,2290,600,81,567,26,5,168,31,202,131,533,341,3,438,19,1040,80,20,53,329,9,2746,307,2,519,1843,810,101,0,540,0,14,2,0,91,65,584,1060,6,0,632,204,95,23,0,13,607,60,8,75,89,1,39,2,156,1,40,1091,5,165,1307,117,0,0,0
TCGA-18-3411-01,319,8939,924,314,741,2768,3143,16530,329,304,272,962,3459,385,439,505,616,175,116,360,325,305,2490,218,413,61,181,730,70,67,5104,1995,26,133,1140,2006,855,12,789,756,15446,1272,55,6,84,1591,394,212,51,321,461,44,68,258,71,318,321,9173,53,298,21,19,141,244,1917,0,574,1278,145,362,101,480,101,1,46,27,856,323,530,581,34,2969,157,125,201,20,66,2,180,2,187,2,51,243,80,5,313,212,22,3,0,15,2,234,4,16,196,3,32,1,91,1,2,5,1,0,5,0,0,0,3
TCGA-18-3412-01,590,8731,2172,648,831,3356,641,19551,119,536,416,1349,3916,197,440,727,1380,84,131,23,492,410,1659,348,896,74,113,24,111,1215,631,154,440,899,481,3248,339,121,999,727,7882,3752,131,825,126,1091,408,846,60,413,177,85,89,306,7577,518,1021,7005,305,339,108,235,1236,1079,1143,2,747,958,182,98,93,879,148,7,81,125,197,1015,496,2,9,1524,1036,104,0,33,0,0,77,0,394,15,36,123,85,1,830,80,14,12,0,6,2,29,47,11,297,2,64,1,676,1,14,2,5,0,2,46,0,0,0
TCGA-18-3414-01,573,3708,1943,405,1790,3342,2374,11234,305,930,99,1236,3917,361,625,821,404,978,163,294,950,484,5638,304,187,174,61,754,131,863,930,759,128,235,345,1732,359,38,1001,260,4355,1749,130,2081,447,3223,960,46,87,456,250,39,436,313,1034,300,1308,424,326,686,21,114,379,203,1343,93,864,951,140,366,483,720,100,13,230,220,580,1007,531,140,372,5819,1354,87,0,72,616,22,56,301,249,197,430,195,152,1029,732,313,355,128,1,25,534,431,16,268,1526,13232,66,2,524,33,26,11,16,0,113,2,1,0,2
TCGA-18-3415-01,214,4531,454,127,487,1729,1480,14353,121,134,212,721,1892,207,314,275,730,27,81,11,238,289,1602,210,269,23,64,27,66,186,715,773,38,203,21,922,173,41,105,172,10194,732,27,11,82,1133,437,266,34,97,96,20,183,406,43,226,187,5185,98,269,12,53,165,22,582,3,493,297,5,195,125,401,80,1,50,249,412,1248,366,17,9,2444,92,46,78,95,1,6,49,2,157,2,49,392,56,0,277,324,34,16,0,20,0,1,2,9,272,0,70,17,12,13,26,8,1,0,14,1,0,0,1
TCGA-18-3416-01,976,4204,2306,672,2038,5132,1281,16730,31,375,286,701,4188,169,710,235,378,92,59,111,291,111,2139,123,346,197,83,57,50,226,81,211,57,124,67,3121,195,7,12,677,4035,852,95,0,379,1690,792,1,1,85,194,1,294,184,452,326,541,10789,106,367,6,5,65,20,315,139,260,289,11,41,6,290,1,0,30,25,473,249,97,2,27,3174,437,111,0,241,0,74,25,1,105,2,159,47,43,1,104,1914,5,17,0,12,1,0,0,5,13,6,2,1,230,0,1,0,1,2,0,1,0,2,8
TCGA-18-3417-01,147,1216,146,53,178,682,344,4150,34,54,134,166,1211,205,149,244,149,18,54,23,138,207,1498,137,82,9,29,198,35,167,406,300,85,43,24,522,280,83,15,91,2302,393,69,24,33,470,358,1,45,101,100,13,152,243,147,50,189,236,38,111,8,2,60,16,173,2,218,573,0,73,108,615,75,2,9,10,141,424,654,203,10,1232,295,49,0,2,1,5,62,0,104,9,44,44,11,0,287,199,87,4,1,7,1,48,24,5,74,0,20,1,125,0,9,15,58,1,0,0,0,0,0
TCGA-18-3419-01,438,4453,1101,494,1218,3187,681,12631,432,564,58,789,5458,120,585,225,607,150,66,12,214,133,1189,87,346,146,97,52,58,591,122,722,10,462,1575,822,367,5,301,358,2228,3233,32,1,134,610,822,0,46,1021,70,4,132,117,963,360,1117,1001,423,412,12,686,357,66,52,15,162,1122,5,4,883,783,0,1,52,21,17,285,161,1093,31,1225,651,78,4,14,0,0,5,1,26,5,168,47,37,0,3516,113,9,43,0,84,1,65,2,9,1557,5,173,49,29,0,129,1,3,0,1,2,0,0,0
TCGA-18-3421-01,248,4052,341,220,486,2391,2244,9185,64,157,211,531,3695,140,566,526,260,92,55,161,169,134,1433,93,563,24,94,704,68,232,414,331,134,337,11,719,392,155,1192,169,1851,3957,60,5724,122,929,308,1,64,145,113,30,292,129,16,321,1319,826,112,1156,7,32,148,41,651,2,476,489,81,152,22,991,521,2,169,9,214,609,319,10,61,3486,587,44,4,78,0,0,9,0,702,7,69,55,58,0,6554,105,61,38,1,21,26,4,9,9,4576,4,581,1,51,2,1,75,1,0,22,1,1,5,0
TCGA-18-4086-01,644,5295,1097,538,950,3594,2373,13219,78,467,143,1188,3984,121,664,651,630,152,166,29,426,711,3133,258,231,124,121,115,132,147,2672,56,85,565,4,4468,396,37,213,424,9581,1048,75,134,242,1594,796,182,225,249,549,172,1091,536,156,459,359,12150,351,465,58,1001,514,83,350,1,1170,794,43,285,59,365,50,10,71,515,835,257,866,30,65,3587,280,108,20,251,0,5,22,1,339,18,194,434,39,2,415,399,129,15,0,18,1,13,14,12,210,1,37,1,152,24,51,38,8,1,435,0,0,1,0
TCGA-18-4721-01,128,1431,114,102,362,795,444,6562,127,70,94,509,1465,126,181,341,273,50,64,27,232,188,1995,165,49,27,33,33,53,221,551,2,1,37,32,1490,174,61,15,93,2996,744,17,3,41,784,400,0,1,87,124,14,124,223,10,108,10,3165,37,319,6,2,81,103,251,14,1712,251,0,467,223,127,66,0,26,9,341,289,706,12,4,1446,185,53,43,27,0,0,12,0,35,0,23,170,63,0,65,136,34,3,0,10,0,51,7,7,77,3,18,2,48,2,43,55,12,0,85,1,0,0,0
TCGA-18-5592-01,329,4486,891,152,1228,3817,1743,15098,207,991,167,944,4358,848,923,291,1098,73,131,554,432,287,2453,225,309,162,70,1267,67,36,3637,391,36,89,342,3260,1347,17,82,410,18893,930,28,278,458,835,453,302,221,258,55,10,201,362,1688,256,1586,3248,141,332,27,79,152,101,136,30,430,391,12,504,1317,439,26,4,41,78,1714,140,314,17,13,7661,120,34,30,267,0,1,34,0,156,4,37,91,103,0,43,141,14,3,1,10,0,16,12,14,37,2,10,1,284,2,9,8,4,0,14,0,0,0,0
TCGA-18-5595-01,1649,10757,2895,1213,6857,11347,1681,16487,117,1843,383,1707,14423,222,1588,1271,1118,222,223,126,521,385,3422,689,960,206,96,270,177,1255,1549,1627,212,780,0,8109,198,149,771,1566,11253,3585,113,1064,1027,3504,844,86,211,522,292,192,672,249,23,1448,2369,40562,315,1404,28,502,594,1295,848,1,1314,755,103,667,302,560,774,18,83,1265,1,422,638,4,2526,4308,1140,29,14,892,1,1,29,3,508,13,1384,47,186,0,59,22,76,1,0,45,25,1,14,48,397,1,226,572,35,22,49,15,11,0,24,0,0,0,1
TCGA-21-1075-01,544,6155,530,434,922,3622,2199,15113,91,281,35,1241,4818,19,1163,388,576,117,60,102,231,99,2040,155,209,214,66,133,58,67,4679,55,11,121,22,4176,1450,48,254,437,11260,716,73,130,204,4713,190,21,10,155,114,24,285,551,9,462,190,23989,176,1019,23,7,146,44,977,0,2616,1710,3,925,3,353,184,3,26,73,1,114,568,8,10,3493,157,8,286,51,62,1,35,6,41,6,30,57,271,0,208,239,237,3,0,8,0,11,5,22,314,1,146,3,51,0,7,16,0,2,65,1,0,0,0
TCGA-21-1076-01,795,2731,612,208,1142,1898,542,8025,532,254,473,878,3782,169,763,1840,1085,566,384,95,1134,1847,9347,1290,121,162,41,238,509,1007,2658,45,348,5830,37,10120,341,298,2396,425,3911,1794,154,60,258,4367,2788,440,100,902,4960,163,663,918,197,454,843,6107,422,4979,171,3212,873,1362,868,9,2528,2509,11,381,53,822,1722,41,252,382,652,953,1284,46,160,9778,708,842,5,213,0,111,26,5,327,8,283,255,108,51,775,1690,192,10,0,76,8,56,43,24,856,5,766,2,85,47,222,31,18,1,22,4,0,0,18
TCGA-21-1077-01,550,4860,690,343,1102,2133,3123,10992,188,237,264,841,1906,345,737,470,776,24,282,100,469,653,4290,326,549,94,137,243,227,148,1988,57,58,257,146,3681,298,90,173,441,8197,1569,154,22,177,2224,1913,311,99,375,1417,103,576,486,165,145,690,4111,328,1500,11,216,441,29,252,291,1276,1142,13,147,202,1599,368,3,86,568,1015,1444,1419,15,78,8685,172,76,5,122,0,375,31,251,93,8,73,128,172,1,689,795,45,8,1,61,2,3,84,34,565,1,160,8,60,8,41,7,1015,0,16,0,0,0,1
TCGA-21-1078-01,110,1503,222,136,351,1162,246,3055,205,2273,20,237,1194,967,302,618,563,46,115,137,299,183,3680,330,63,51,78,350,86,747,3312,112,0,70,0,1591,31,147,3557,308,12557,3558,36,3,158,8159,11281,0,0,263,462,16,150,157,567,99,124,193,2459,103,5,1,167,3,106,41,451,891,0,3,343,53,68,10,28,95,0,1868,387,1,13,2930,430,23,0,15,0,0,1,0,19,19,17,3,78,0,14,2016,24,0,0,16,403,145,25,23,90,3,263,4,81,4,4,1,192,0,2572,0,0,0,0
TCGA-21-1079-01,295,2766,978,345,1539,1787,645,6659,1255,354,378,864,2448,343,318,872,477,282,193,77,746,303,4148,409,127,41,67,584,151,124,342,1455,325,637,387,1987,557,26,8,435,11401,300,212,1,95,2172,1500,402,46,335,49,18,83,480,13,221,1066,449,436,62,1682,739,255,1374,354,101,1019,247,7,86,3248,9265,3,0,41,1612,1029,42,1797,66,2,8253,1021,52,1,35,0,0,5,0,22,0,15,115,212,0,132,719,602,15,0,33,0,1519,15,34,2,3,1,161,110,0,4,0,8,7,3,0,0,0,1
TCGA-21-1080-01,907,4097,806,293,1391,3037,655,14046,222,246,133,864,5009,532,734,447,501,111,183,61,418,194,1690,587,1158,169,18,301,67,304,286,1364,620,304,1346,1586,704,38,702,303,2990,1673,277,20,184,3820,568,1,30,400,493,73,146,243,4351,377,3169,305,137,783,17,82,129,800,116,11,402,969,194,41,623,396,145,9,34,6,1,1811,468,5,127,12545,1717,71,0,20,3,109,10,0,826,8,1173,30,133,2,105,1509,13,12,0,32,4,600,3,10,368,1,74,0,2437,1,18,1,2,1,1,2,0,0,29
TCGA-21-1083-01,952,4407,2684,1101,2665,5272,513,14578,31,421,376,970,7347,539,871,636,391,181,454,732,552,421,3397,438,2211,309,245,1531,52,83,1231,1352,32,136,1868,8643,534,91,535,3026,15021,1686,115,725,161,3742,2035,0,2,604,533,159,711,772,2272,368,1054,8654,302,527,6,0,173,387,15854,448,797,1260,508,2095,595,627,109,8,50,24,1124,1589,689,9,321,2652,190,179,0,115,0,1145,10,28477,934,20,2343,82,141,0,310,982,782,5,2,632,14,123,56,1076,212,16999,72,84,285,0,1212,13,1690,3223,14,3576,0,3,0
TCGA-21-5782-01,498,1197,827,362,1293,1890,195,2993,130,163,188,361,2006,97,274,429,476,106,134,41,324,529,1169,278,340,166,32,83,157,104,379,233,90,170,148,1166,321,62,116,512,2277,372,13,780,133,1247,510,23,62,254,105,196,511,188,72,214,1073,172,121,286,51,67,170,275,135,157,218,420,52,131,59,290,245,25,67,103,189,238,410,49,81,3648,761,89,31,142,18,35,35,73,63,36,79,48,51,6,55,72,48,16,42,157,116,88,35,10,394,193,166,57,124,30,35,49,53,17,80,17,6,26,31
TCGA-21-5784-01,101,1599,360,166,392,1716,524,5861,327,148,397,411,1467,598,199,1322,727,79,207,86,891,1262,6316,366,145,27,48,83,193,694,2853,886,119,1051,1,1483,81,697,224,164,4476,1250,382,102,52,2614,1252,13,28,521,3446,2388,566,307,163,106,1729,87,663,2687,8,48,502,304,509,4,647,1354,23,90,9,961,2742,53,457,32,233,659,1380,17,7,5439,860,212,3,136,2,0,6,3,160,17,111,108,33,0,1870,542,299,8,5,26,27,62,81,19,1542,1,515,1,434,6,180,3,5,0,6,2,0,0,0
TCGA-21-5786-01,509,4037,1621,194,1766,6151,1219,15320,1112,201,120,1243,5370,292,794,631,1539,507,588,104,557,513,3521,260,590,60,76,532,98,82,487,314,443,415,1145,2257,242,58,55,652,7883,1874,34,112,458,2365,1034,53,147,280,220,43,264,427,48,181,965,284,306,282,104,663,409,363,74,479,321,992,187,27,925,464,30,0,59,507,294,283,1073,155,32,9330,398,61,0,188,2,1,179,307,563,27,78,183,46,1,115,105,206,20,38,24,7,3,26,130,75,5,7,56,174,1,1200,3,7,0,0,2,2,9,1
TCGA-21-5787-01,350,5324,2523,1123,2415,6894,1569,11987,115,726,111,1980,3736,314,589,1642,417,40,492,8,955,685,4123,763,331,96,62,162,347,79,2826,209,15,248,1398,2847,52,94,89,518,5714,822,235,4,259,5370,4315,29,930,162,1098,365,596,321,3108,344,130,1104,339,1033,7,18,1086,128,172,0,863,10358,153,124,755,1191,919,5,120,33,274,1199,735,1,24,13333,89,36,3,47,4658,3,11,0,170,9,325,116,20,0,316,668,90,2,1,306,3,0,48,134,1064,2,140,3,19,3,32,1,27,0,1,0,0,0,0
TCGA-21-A5DI-01,319,2133,903,339,570,2034,481,3070,144,618,41,551,2219,119,351,67,156,89,42,100,61,330,1912,83,52,197,24,745,24,182,179,528,65,126,0,1055,351,9,36,101,3282,310,5,13,437,667,596,400,909,113,16,49,416,101,2,103,1072,725,522,23,6,20,82,34,90,21,18,142,11,24,148,551,9,2,7,617,256,33,913,8,39,3177,1067,13,0,16,0,0,19,0,48,117,17,4,77,0,335,444,50,2,1,12,2,0,6,23,61,3,4,1,119,3,2,5,3,0,1,0,0,0,0
TCGA-22-0940-01,360,9406,1029,421,1313,3456,3067,15447,492,524,560,1303,4366,405,660,792,721,198,186,366,331,674,6072,411,766,147,229,1015,106,196,2386,309,81,92,908,2032,370,227,293,442,15907,1218,40,69,193,3079,1504,437,66,505,271,156,777,709,68,189,352,3435,85,2451,16,0,218,56,639,18,1089,1066,12,189,259,415,651,16,143,89,10,483,1621,8,68,7870,416,158,9,89,0,0,3,206,276,6,181,264,45,0,883,2601,97,14,0,48,7,66,12,38,1062,47,273,428,35,0,168,2,16,0,29,3,0,0,0
TCGA-22-1011-01,546,2614,1141,306,1879,1550,888,5286,137,412,150,715,3217,295,397,1189,561,29,334,63,621,616,5210,384,148,102,53,535,176,715,1357,435,11,192,58,2601,309,137,63,373,2831,1482,63,29,345,2555,1383,4,87,475,631,193,491,325,683,226,1379,298,360,631,10,7,390,100,201,4,782,851,68,118,47,753,52,16,176,62,293,655,1536,4,53,4631,581,94,9,38,0,6,51,0,116,47,252,629,43,1,277,1613,39,6,0,30,20,152,18,23,1415,12124,41,8,373,2,186,52,21,4,8,6,0,0,0
TCGA-22-1012-01,568,5222,1267,495,1313,3461,2102,17854,250,454,76,637,2865,11,619,532,282,133,109,42,207,258,1119,407,417,204,71,138,44,174,1209,348,165,3619,257,1753,474,41,176,238,4598,709,46,75,136,1360,447,95,36,122,109,69,261,242,34,251,1624,891,493,570,343,25698,245,688,77,540,584,653,171,29,13,676,300,5,61,255,1201,462,203,233,72,5976,946,77,3,29,215,35,64,4712,170,6,940,135,81,285,458,138,76,4,1,21,3,83,14,3,272,3,97,224,21,75,35,0,8,0,5,1,0,0,76
TCGA-22-4591-01,854,3422,2045,854,1269,6432,1144,18250,288,1327,179,1537,8239,449,645,990,3440,399,219,24,563,328,6091,531,195,168,88,28,113,1422,3401,25,33,204,356,2391,1323,198,6005,717,11117,5000,17,23,569,14506,1043,12,4,330,748,120,171,330,53,314,45,17340,51,2161,3,11,389,7,245,17,1261,4168,15,1083,3,219,770,2,346,36,84,1701,546,0,249,12566,1166,77,202,84,1,1,443,1,144,8,58,44,116,0,90,62,37,6,1,32,3,120,24,16,1522,0,419,34,225,4,9,5,9,1,5,1,0,0,3
TCGA-22-4594-01,229,4933,536,347,780,2856,542,9760,366,629,364,371,2693,131,501,834,272,40,208,6,695,670,4608,471,113,68,148,24,99,178,1790,1,0,110,1695,2240,203,121,42,178,5552,1660,41,2,64,3803,742,27,6,363,681,61,280,622,65,363,674,4841,150,386,0,0,222,12,488,5,672,2358,20,27,4,2928,3583,54,753,37,136,3389,1057,2,16,83698,57,119,12,527,0,9,34,3,199,90,139,91,79,0,604,376,17,28,0,178,4,8,28,19,3995,2,2835,100,13,0,11,9,6,2315,4,4,0,0,16
TCGA-22-4595-01,602,6413,1605,443,4487,3465,774,30079,319,1059,368,1058,4619,222,274,797,1559,465,319,148,693,1569,6671,572,317,282,217,982,137,399,1578,186,127,339,323,4796,976,99,199,1547,6231,1524,44,354,148,1863,1731,234,141,507,247,139,600,1088,98,2069,2057,562,517,2149,329,190,489,3653,320,10,984,1937,46,69,686,967,827,5,92,1257,9,1256,1781,447,454,8734,2397,180,2,249,1,3,26,1,326,14,135,7,182,107,241,913,1059,6,2,68,3,206,46,206,448,3,324,1,68,436,227,12,371,1,109,0,0,2,130
TCGA-22-4596-01,115,2409,665,243,531,1220,335,4261,10,240,462,772,3360,196,265,2133,989,33,539,0,1224,986,10683,1244,380,46,58,6,275,424,17518,589,1,38,1,3617,102,2727,48,163,3531,2923,81,1,129,6145,1897,4,2,4730,1474,432,371,776,176,198,310,717,345,6132,6,0,626,1,482,0,2169,2406,93,294,4,4279,1806,9,423,39,25,1461,1753,20,358,29447,87,330,10,204,0,0,4,0,1316,1,828,86,71,0,2198,2460,73,31,3,131,42,17,68,15,7470,3,3101,1,73,0,109,1,32,0,5,3,0,0,0
TCGA-22-4601-01,385,976,385,188,351,953,232,3814,178,77,105,419,1818,70,245,360,292,57,105,32,324,529,1594,336,95,216,21,68,79,38,1853,238,40,140,47,1307,177,67,367,240,3572,491,31,45,109,672,928,256,49,315,712,141,585,147,55,172,590,6227,224,1024,31,32,1182,2551,68,4,707,720,3,74,190,167,232,5,29,673,177,930,487,323,300,2987,269,19,15,149,0,13,5,2630,181,9,27,55,71,0,60,127,335,13,2,17,9,2,10,18,151,3,152,0,49,1,66,2,8,2,46,0,0,0,0
TCGA-22-4604-01,733,3730,950,462,2711,3326,1256,11763,545,339,354,781,4389,347,856,748,1161,88,2580,16,794,1692,7261,654,591,172,187,131,139,96,922,657,266,711,1436,5562,529,66,435,1147,6913,5393,10,1,441,2286,1716,107,323,451,219,160,418,1557,212,180,1282,1248,324,743,174,455,544,2874,347,32,705,1920,67,631,61,1775,3,0,43,116,248,1353,2240,14,24,4404,731,222,4,95,645,131,16,1,997,40,115,34,1,0,559,444,57,16,1,53,2,38,317,50,11,19,21,2,715,2,7,3,10,1,7,6,0,0,3
TCGA-22-4607-01,468,4186,1080,665,892,5365,1554,14363,211,610,407,828,3199,627,438,971,821,555,144,6,336,607,3726,498,489,61,238,67,100,470,1011,1571,2857,155,1,1526,584,82,3682,948,6032,1886,14,1590,123,1405,1096,27,180,485,868,351,342,382,111,1440,1824,561,1046,194,29,12,1534,6,287,8,716,2022,18,190,579,2089,193,8,84,45,533,2686,529,1,134,3068,915,168,3,17,0,0,22,0,1702,178,37,61,93,0,1660,121,997,35,0,14,2,115,7,46,1288,0,688,38,1027,2,9,0,3,0,2,0,2,0,0
TCGA-22-4613-01,454,2161,301,179,565,1301,472,10028,6,250,46,441,2066,168,250,205,271,148,74,60,96,222,1385,136,160,50,43,153,44,146,434,75,110,58,0,1075,170,23,705,196,1826,846,77,15,183,881,329,17,33,173,102,73,110,209,11,215,431,469,99,447,47,6,98,467,78,17,221,1194,9,164,29,278,100,5,25,67,287,589,347,3,63,1546,346,68,1,9,66,95,26,3115,125,6,60,90,67,0,115,98,16,38,0,18,0,111,6,16,60,57,21,11,77,0,9,4,316,0,1,2,0,0,9
TCGA-22-5471-01,477,4857,2548,776,2018,5282,865,12768,1348,204,130,786,4966,416,838,534,460,70,231,225,287,631,2111,311,1084,181,109,645,84,129,558,858,1103,731,2306,1504,415,20,120,445,7722,1299,36,34,241,619,1573,174,248,164,83,81,906,338,327,121,734,986,266,325,123,339,338,629,186,464,220,607,132,483,72,252,17,1,32,218,156,569,383,16,119,3818,383,90,1,232,0,43,17,4,288,146,276,702,39,33,426,3675,80,4,1,23,1,9,30,57,84,56,33,3,443,9,46,22,3,0,0,2,0,1,149
TCGA-22-5472-01,263,2088,1236,365,1291,2227,666,5256,189,636,527,787,2864,341,446,2315,1069,170,549,5,827,1271,10875,665,258,79,16,20,378,779,3697,263,135,294,3,8277,412,1196,451,310,7002,2970,145,96,287,4605,1705,47,139,1633,3196,818,645,405,137,247,2075,170,1215,9572,21,24,2455,19,1156,15,1648,2401,16,353,137,1610,3168,22,424,111,1122,1537,1120,320,13,21299,1196,173,40,244,0,0,40,0,427,14,53,40,66,0,585,126,165,24,6,74,97,7,78,18,4983,1,1053,8,828,3,114,9,50,0,37,2,0,0,0
TCGA-22-5473-01,829,6658,2330,513,1458,2668,1659,18740,93,282,509,1168,4143,969,515,446,609,198,89,213,622,895,2878,228,1046,108,159,512,46,2127,2871,98,180,921,39,3095,1158,46,53,624,10677,1044,20,3,159,3018,909,23,183,230,146,255,549,760,27,335,895,16005,184,1989,9,80,254,353,323,1,886,957,23,1238,7,806,1426,2,92,299,213,509,1053,34,10,9424,433,69,62,139,0,179,24,2,168,7,313,15,318,0,272,60,94,3,0,24,0,6,46,28,482,1,495,10,65,2,10,510,5,0,249,0,1,0,0
TCGA-22-5474-01,393,4329,1310,571,2381,3335,2073,14981,245,763,111,1572,4426,303,813,1262,975,97,376,78,792,928,6871,385,343,166,313,175,215,688,3397,55,27,422,137,6071,354,204,2733,337,14215,3021,36,20,429,2792,1219,715,122,531,606,228,1205,741,130,292,771,11712,443,1199,21,53,712,150,1074,2,991,527,8,98,882,821,229,6,166,332,10,2030,1290,32,23,8080,141,396,2,330,0,5,198,8,913,14,197,150,239,0,1200,674,125,8,0,117,0,3,32,66,1696,4,179,10,356,0,71,3,21,0,600,16,405,0,0
TCGA-22-5477-01,1052,4876,1751,796,5225,7708,2016,17641,363,521,321,1032,8249,937,889,1103,1218,104,267,45,725,488,4843,579,202,158,147,63,178,230,1455,179,16,113,90,13079,591,286,161,738,11080,1277,37,12,375,2336,1904,20,2,354,695,520,308,752,22,536,167,30874,33,3068,32,10,289,443,3213,17,1053,1862,11,1058,8,576,672,7,133,305,458,678,1567,3,102,10334,255,75,8,131,0,31,53,5,66,7,60,85,150,0,67,220,22,5,2,40,17,84,19,51,503,37,176,14,1158,2,28,298,17,0,28,0,0,0,0
TCGA-22-5478-01,790,3195,1308,875,1323,4043,824,19176,675,706,249,897,7107,1311,449,1120,1612,283,1165,57,1454,918,10280,669,194,117,175,179,168,751,6979,831,26404,139,709,6071,443,148,244,423,3766,4100,47,1,275,7754,2523,2,53,662,1803,349,605,595,18,203,329,746,112,1300,28,114,593,240,664,18,985,6732,64,797,6,803,670,29,691,30,880,1781,5767,15,98,26798,654,117,549,125,73,0,93,1,53,22,324,253,50,5842,228,189,1110,6,0,64,22,675,28,63,1598,43,145,2,172,1,84,966,9,25,8,4,0,1,43
TCGA-22-5480-01,768,7344,1097,411,2317,3507,734,9874,675,369,269,540,3728,29,794,1034,977,281,334,88,654,567,4208,643,546,247,87,280,362,581,4145,187,55,95,4,6171,100,73,25,619,5469,1005,24,546,430,3667,3173,433,12,532,365,66,338,488,330,188,415,485,99,2663,33,151,274,834,311,22,1112,1239,9,213,71,593,969,9,123,35,26,575,895,22,351,7627,542,89,8,731,2,3,47,9,143,28,232,10307,18,1,206,945,243,5,26,59,20,5,55,2,608,7,257,258,261,1,355,181,12,0,29,145,1,4,0
TCGA-22-5482-01,565,3930,976,521,1410,3712,2719,7792,115,391,136,1346,3853,139,854,546,532,79,204,78,2221,1464,3309,262,496,58,63,220,72,157,4122,312,52,786,4,4749,1234,19,319,307,14830,543,260,240,324,3453,756,377,576,414,76,51,809,685,40,372,1390,13972,1126,221,164,772,409,1025,567,12,275,656,159,541,440,1504,21,1,17,523,32,101,537,36,12,10062,5412,55,24,453,10,2,19,0,333,10,42,6,48,0,202,291,68,5,0,19,1,13,19,54,9,1,7,1,418,26,17,26,10,0,94,0,0,0,0
TCGA-22-5483-01,1903,8899,2401,1808,4470,6288,4192,26815,543,1490,197,2106,10262,468,1251,1094,1566,236,635,742,886,596,6893,869,117,338,144,2396,714,216,809,106,18,121,357,18594,1379,72,99,1441,11553,1179,247,9,692,1426,6491,169,55,1454,506,349,1027,1090,290,810,42,18029,126,671,13,12,763,40,1208,0,842,1361,30,166,383,1035,65,3,703,85,455,5885,12778,89,40,7774,148,177,3,121,0,1,1970,223,214,8,118,909,101,3,246,181,31,12,0,368,8,11040,652,15,10489,1,33,36,23,1,21,1,22,2097,5,6,22778,14237,0
