Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,CERS3,NEIL3,KPNA2,HOXC13,USH1G,ATAD2,HOXA10,PRKCE,INMT,CLIC5,HECW2,BTBD11,TGFBR2,CACNA2D2,NKX1-2,CABYR,ADAMTS8,VEGFD,PREX2,PHACTR1,SLC6A4,SLC1A1,FOXF1,LIMCH1,ABCA8,UTRN,SCN7A,TMEM100,CLDN18,TSKU,GPD1L,CITED2,PTPRM,RECK,ADH1B,SLC7A11,OGN,SLIT3,LRRK2,DSC1,STXBP5L,OGDHL,NR0B1,KPRP,PAX3,DDAH1,KCNQ5,SALL1,SLC6A11,PEBP4,LEFTY2,LRP8,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,DIRAS2,CRTAC1,JAKMIP3,CBR3,SERTM1,PRDM16,SLC47A2,SHISA9,CAPN3,NECAB2,FRRS1L,RUNDC3A,F2RL2,POPDC3,CHP2,PTPRN2,LRP1B,IGSF10,SELE,ABCC2,SLC38A11,SYNDIG1,ABCA4,PROK2,GREM2,HOXA9,SYT2,AGTR2,NTRK3,CHGA,ELAVL2,FLG,CCNA1,PRB4,CLDN8,CCDC190,DEFA5,OBP2B
TCGA-66-2763-01,6021,4529,685,5472,3758,223,15910,99,503,8452,163,1574,344,896,501,641,3182,947,16,40,73,40,160,291,25,883,429,1117,89,3050,156,163,367,5819,5297,3083,1503,604,513,290,36,390,2410,11,7,344,0,4,15,1303,248,94,80,1017,24,414,4,644,515,9775,154,4,2259,12,109,0,250,96,0,209,2,68,13,26,14,28,320,3,301,71,46,20,72,3237,8,92,10,256,66,19,19,69,50,72,0,42,1834,0,0
TCGA-66-2765-01,8050,2868,1130,1280,4954,210,12398,60,46,2425,5,463,233,425,437,2386,5201,193,7,45,26,20,105,160,5,319,361,983,46,2356,64,210,394,12130,823,3627,673,256,113,315,25,431,1348,8,1,88,0,23,1,734,311,1,1031,265,4,1318,520,405,512,9614,1725,4,913,23,191,2,79,152,1,131,21,3,188,28,288,92,172,1,85,155,47,14,85,20,15,16,3,7,33,10,3,8,29,29,0,3,1589,0,0
TCGA-66-2766-01,7236,5356,1499,1396,2316,594,10868,371,319,3368,188,588,170,61,492,1299,1728,78,172,1884,13,39,44,739,36,358,179,1265,55,1772,156,139,7,6685,1181,1810,296,421,92,13734,7,124,175,26,143,698,7721,25,8,728,685,46,120,11,2,1152,673,1482,350,2445,647,796,14,187,1370,1273,403,421,19,29,109,788,285,339,144,1960,748,82,967,24,785,1919,311,13953,17,4,18,36,0,5,253,0,76,2475,0,7988,1,0,8
TCGA-66-2767-01,3487,3050,1492,2195,7155,489,9210,677,167,3649,414,818,1943,1690,522,456,6391,1564,6,143,196,530,307,263,642,1142,630,2029,378,4596,566,358,4146,3206,2498,4080,1821,743,3360,695,125,1408,6375,320,16,751,2,798,201,1418,421,6,1,1710,41,556,9,1328,777,11861,476,12,1057,132,316,41,202,39,20,387,30,185,41,77,32,18,398,13,298,1105,45,16,128,817,14,61,60,28,589,42,4,2,60,34,4,39,595,1,0
TCGA-66-2768-01,6977,5879,1778,1180,3709,841,16765,1487,235,3742,481,931,197,108,492,2344,6308,130,137,231,34,21,89,458,9,296,177,377,55,1458,5,57,12,17902,327,2101,1726,279,0,1506,15,198,391,178,10,540,0,76,97,530,329,510,445,6,0,977,42,222,4675,9975,5301,11,1101,164,206,0,199,46,2,109,124,176,65,608,495,1029,771,7,77,7,58,11,70,491,125,18,28,51,0,6,30,132,78,947,0,714,3,0,0
TCGA-66-2770-01,5852,2527,2576,2387,2278,860,11669,308,786,4280,102,661,333,767,664,2236,4372,488,179,2016,48,65,143,290,363,587,760,1903,99,5086,181,159,852,11573,693,1878,1280,821,235,10993,192,1559,4318,35,779,5068,314,138,3,957,327,1529,72,418,7,3945,1265,647,1174,9761,252,1134,438,1603,1214,91,652,2057,807,447,297,631,130,8466,843,45,522,106,230,134,120,3713,855,25575,12,24,72,35,111,23,36,1,209,459,0,2887,6504,0,0
TCGA-66-2771-01,5041,2553,1365,1653,1078,150,8385,70,150,2252,62,627,927,1051,258,388,3418,441,20,17,87,181,101,246,32,608,87,857,120,1410,172,379,1647,2366,1903,2940,753,261,1437,205,73,553,4141,41,2,20,0,1,5,911,20,1,16,1509,11,424,115,1036,258,6073,242,4,870,10,74,6,75,8,2,84,10,5,16,12,9,23,297,5,55,66,40,8,39,92,38,15,6,295,186,19,1,0,1,4,0,326,1125,0,0
TCGA-66-2777-01,3365,2886,672,1329,1743,267,11284,21,150,3039,197,860,498,863,383,1599,5635,851,242,700,103,136,171,496,24,280,379,3117,191,3221,270,167,2258,11077,1723,4094,837,346,1726,2471,93,675,5118,171,21,434,1369,113,1,1575,202,35,21,885,10,2296,478,741,1339,11957,62,82,2135,325,234,32,280,452,24,58,452,460,410,617,531,237,270,87,199,161,94,729,81,150,27,18,52,126,831,28,154,3,55,2728,0,202,44,0,1
TCGA-66-2780-01,3466,2725,614,756,2675,207,5396,612,227,3475,532,791,326,109,494,1144,6807,69,513,39,17,3,92,133,7,272,333,502,149,1869,151,202,21,7819,797,1405,954,490,34,413,73,158,310,7,6,138,11,5,7,586,206,17,509,34,7,1621,713,339,1097,4712,1491,12,398,48,150,1,26,14,23,50,20,2,95,49,43,2446,208,1,118,24,205,5,412,413,59,46,23,35,18,25,5,0,14,664,0,284,100,0,0
TCGA-66-2781-01,3180,3833,1450,910,653,281,13661,178,110,3075,197,1014,258,151,363,1483,19237,233,105,1787,48,68,123,311,11,75,222,586,237,2665,119,254,32,8323,3675,2593,832,407,330,3377,39,496,599,9,24,134,364,5,4,761,28,26,64,42,27,1507,91,963,1135,4732,727,130,177,345,169,25,38,325,3,127,155,38,177,323,837,37,141,64,1759,111,1055,26,188,458,92,40,53,73,35,36,139,2,26,293,0,49,143,0,0
