Unnamed: 0,hsa-mir-210,hsa-mir-944,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-6499,hsa-mir-139,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-628,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-22-5492-01,16650,342,43629,76603,207,149,17,91,76,9,146955,1226,74,5,198,0,0,0,1,0,0
TCGA-22-A5C4-01,3794,213,32119,91627,183,355,11,131,229,41,262520,2965,70,14,21,0,0,0,0,0,0
TCGA-33-4532-01,9634,1187,22857,63622,74,31,20,17,81,42,56520,631,23,1,36,0,0,0,0,0,0
TCGA-33-4533-01,7785,57,5036,13740,26,270,4,30,163,31,23587,2596,53,30,206,19,76,0,0,3,0
TCGA-33-4538-01,2409,116,8523,11995,29,23,3,85,440,7,16725,332,12,0,107,0,1,0,0,0,0
TCGA-33-4547-01,4297,246,21725,31269,48,20,8,18,237,9,55462,723,16,1,110,0,0,0,0,0,0
TCGA-33-4566-01,753,55,7348,8099,27,2,0,38,69,4,14288,483,13,4,57,0,0,0,0,0,0
TCGA-33-4582-01,3569,375,18320,23191,40,5,6,20,374,12,26804,286,7,2,83,1,0,0,0,0,0
TCGA-33-4583-01,6552,70,22773,8839,28,282,11,22,30,4,19900,403,5,0,71,0,0,0,8,0,0
TCGA-33-4586-01,4344,173,44341,24421,46,3,26,14,13,1,38863,256,2,0,61,0,0,1,0,0,0
TCGA-33-4587-01,28622,3,2103,327223,557,152,2,195,84,27,428870,420,17,1,80,0,1,4,0,0,0
TCGA-33-4589-01,3336,133,14987,6955,8,1084,1,6,223,2,13378,237,13,0,57,0,0,0,0,0,0
TCGA-33-6737-01,1466,11,4152,120107,92,299,0,138,187,4,132025,9404,9,0,39,0,0,0,0,1,0
TCGA-33-6738-01,9972,13,140204,143946,228,11,0,253,861,22,225993,5820,17,0,158,0,0,0,0,0,0
TCGA-33-A4WN-01,6058,1047,59770,24397,85,20,35,81,347,5,45436,773,11,1,42,0,1,1,0,0,0
TCGA-33-A5GW-01,9797,799,94810,43620,178,199,74,222,141,6,166857,1714,10,9,31,1,2,1,1,0,0
TCGA-33-AAS8-01,19407,2530,84549,101975,400,1,21,137,2422,32,135461,1628,26,0,46,0,0,1,60,0,1
TCGA-33-AASB-01,12020,18,6472,132208,435,251,0,303,95,11,168914,2050,39,1,50,0,5,2,0,1,1
TCGA-33-AASD-01,24020,1974,106615,68773,189,1011,76,78,707,21,91370,954,29,2,36,1,0,0,0,0,0
TCGA-33-AASI-01,1523,166,85852,49693,175,892,2,221,130,16,71754,1961,34,1,79,0,1,0,0,0,0
TCGA-33-AASJ-01,15130,3838,72450,35697,166,92,36,124,985,22,39269,1241,34,2,41,2,1,0,0,0,0
TCGA-33-AASL-01,10374,1298,60403,91033,338,94,89,133,711,12,160254,6333,79,9,42,6,0,1,3,347,0
TCGA-34-2596-01,2291,872,16671,65763,176,31,2,55,954,2,111852,1438,14,5,117,0,2,0,21,0,0
TCGA-34-2600-01,4594,672,41693,123591,210,5,31,48,2306,39,223426,465,27,0,90,0,0,0,3,0,0
TCGA-34-5234-01,7711,262,40176,39125,105,1138,20,189,1016,12,84845,5595,226,1,287,0,0,4,0,0,0
TCGA-34-5240-01,6708,298,20140,95599,177,295,4,22,61,5,190577,399,22,0,180,0,12,0,10,0,0
TCGA-34-5241-01,2745,256,7559,18366,16,27,4,149,295,6,28856,1205,10,12,132,0,0,0,0,0,0
TCGA-34-5927-01,7733,1195,67412,442809,300,91,3,74,49,28,744137,491,3,4,278,0,4,0,0,0,0
TCGA-34-5928-01,2365,392,54672,105648,68,57,7,47,36,16,121425,419,14,6,29,0,4,0,0,0,0
TCGA-34-5929-01,3042,1041,120443,294441,352,10,16,130,46,25,534446,421,15,2,43,0,2,1,0,0,0
TCGA-34-7107-01,11530,936,86889,36916,59,18,17,207,361,12,43788,1084,18,0,41,0,0,0,0,0,0
TCGA-34-8454-01,5834,637,41930,22690,15,3,23,216,86,7,31522,1133,14,5,26,0,0,0,0,0,0
TCGA-34-8455-01,12663,570,69195,22051,28,778,74,191,241,8,35331,2712,7,0,40,0,0,1,0,0,0
TCGA-34-A5IX-01,5633,337,63025,49075,223,79,7,78,245,11,189483,4636,13,136,16,3,0,0,0,1,1
TCGA-37-3783-01,11824,205,82655,24854,22,87,70,928,120,4,18975,1733,98,5,22,0,0,0,0,1,0
TCGA-37-3792-01,3364,4,2595,8487,66,1284,0,36,126,0,17991,1139,36,134,170,0,0,42,0,0,3
TCGA-37-4130-01,1574,5,57,5857,10,6,0,18,111,2,13995,270,17,1,55,0,0,15874,0,2756,2294
TCGA-37-4133-01,4368,168,44074,65392,101,208,25,21,225,13,102530,253,22,5,74,0,0,5,0,1,0
TCGA-37-4135-01,11375,15,4375,35700,64,127,0,66,128,21,76451,267,14,1,56,0,0,3,0,1,0
TCGA-37-5819-01,6191,4,716,50482,90,82,0,37,28,57,53519,319,69,0,297,0,0,0,0,0,3
TCGA-37-A5EL-01,15736,57,25271,18480,131,79,12,24,191,1,76590,1302,29,13,7,0,0,0,0,1,0
TCGA-37-A5EM-01,3145,1414,42083,65987,145,75,36,66,93,12,200703,1241,23,24,19,0,0,0,0,2,0
TCGA-37-A5EN-01,4052,818,43562,32368,107,10,7,148,275,17,91286,1891,15,2,23,1,31,3,0,0,0
TCGA-39-5011-01,4729,48,9335,57239,104,127,0,35,224,17,82409,954,147,49,314,0,0,0,0,0,0
TCGA-39-5019-01,4352,2384,40635,160782,164,26,5,128,1220,8,185229,1595,48,5,69,1,0,1,0,0,1
TCGA-39-5021-01,1780,143,8478,23229,37,25,0,11,61,7,24023,260,12,0,140,0,1,0,0,0,0
TCGA-39-5028-01,2955,150,24775,9918,17,263,43,42,117,2,16932,381,9,3,123,0,0,0,0,0,0
TCGA-39-5029-01,4589,331,6946,19161,26,95,3,42,78,6,27537,497,8,0,104,0,0,0,0,0,3
TCGA-39-5030-01,1438,126,19107,25354,73,29,1,29,81,1,59525,373,21,0,208,0,9,0,0,0,0
