Unnamed: 0,CCNB1,ZWINT,PBK,KPNA2,HOXC13,ATAD2,HOXA10,WWC2,PRKCE,CKS1B,HECW2,TGFBR2,RIMS2,PREX2,SLC1A1,LIMCH1,GGH,UTRN,TMEM100,TSKU,GPD1L,CITED2,PTPRM,LEPR,GIMAP6,TFR2,RECK,MAGEA10,ELOVL4,GATA6,SLC7A11,LRRK2,CSAG1,SLC19A3,MSR1,GRM4,MAGEA12,ARHGAP29,PAX3,GRIP1,C2,DDAH1,CPB2,KCNQ5,GMFG,LEFTY2,ITM2A,TBX18,ENPP4,BEND6,AKAP12,NR3C2,LST1,ANXA3,LPCAT1,ULBP2,PGC,COX7B2,VTN,SERTM1,PRDM16,TLR8,POPDC3,PAH,VWDE,SELE,GREB1L,ADAMDEC1,SYNDIG1,PROK2,GTSF1,GREM2,RND2,SLC22A3,HOXA9,AHSG,SLC38A4,RBP4,GLDC,ELAVL2,MAEL,SERPIND1,F2,TM4SF5
TCGA-85-6175-01,1811,1072,302,6953,773,3647,17,4289,1454,1022,1769,16119,656,589,1999,3495,1606,12410,118,10337,1947,4853,4981,1137,1808,72,2448,3,306,853,348,5251,5,226,4419,341,2,3038,0,820,2357,3375,44,237,1541,23,912,429,977,412,8902,910,1736,3024,20105,521,843,0,53,1,657,563,33,3,191,126,166,3027,1618,14,56,435,136,2196,19,20,526,215,58,26,8,151,7,1
TCGA-85-6560-01,10353,9018,2378,63170,660,10336,17,2213,490,6216,1173,11333,30,2017,264,1157,6960,28922,113,4589,961,1926,3603,1000,2915,32,1274,0,1783,290,6297,826,1637,48,9122,131,4833,1661,421,657,1803,4433,16,116,1369,14,696,158,1749,170,5562,136,947,94,33833,53,44,1,12,7,702,982,19,2,92,1468,183,4609,386,14,47,22,3269,425,8,20,5,194,631,15,1,5,3,7
TCGA-85-6798-01,3703,2237,300,12736,36,1987,593,298,346,3187,702,1334,139,43,630,1982,2418,2643,11,7692,384,1469,376,277,160,144,682,0,515,389,9032,114,7,8,236,21,14,166,3,375,300,1702,1,431,414,1,85,252,38,957,2495,237,283,570,4379,2125,17,69,9,24,453,39,212,2,897,19,245,47,733,2,976,58,856,0,15,52,47,17,51,5,18,5,0,1
TCGA-85-7696-01,2974,4685,1503,11424,114,6398,732,672,1436,5796,738,5284,1173,206,76,1594,4085,6176,73,18978,3940,1255,1557,777,673,454,826,0,265,203,5546,942,7,56,1909,394,3,602,36,762,566,613,15,239,655,16,340,827,484,357,1323,399,695,2669,4673,193,123,0,22,110,931,138,330,327,1250,237,172,357,737,3,38,53,343,205,80,42,212,435,52,37,77,6,3,0
TCGA-85-7697-01,4804,3557,793,12901,230,3108,761,1087,829,3263,786,6335,325,400,243,1091,2958,5373,114,7830,1897,2866,1677,968,1198,160,538,233,439,213,1144,599,179,56,424,78,190,1165,121,557,814,1343,4,374,973,5,1232,220,1099,402,1238,229,467,3380,5191,1406,43,1,24,8,83,145,133,17,226,743,20,520,210,24,381,150,248,599,42,22,1816,90,127,15,76,4,0,0
TCGA-85-7698-01,4065,3622,1234,13587,154,5403,270,884,694,2680,1724,5827,765,292,531,2075,2377,8855,81,11727,1704,1901,2095,810,1268,182,1390,1,488,290,22232,721,0,21,2442,15,0,919,2,1022,807,1192,0,784,1056,9,860,229,367,458,2178,190,500,2920,4916,443,77,0,13,13,194,256,545,17,679,732,257,1165,1749,4,79,104,1030,234,23,14,180,228,273,18,16,6,0,0
TCGA-85-7699-01,7861,4266,3224,19803,438,12935,239,1753,403,3632,1056,6481,769,233,328,952,4119,7665,91,3151,1127,5452,4930,266,2226,467,1130,1,551,484,331,646,9,52,3182,542,2,1089,4,1440,1603,2091,0,1074,1617,18,2223,1120,571,571,1504,540,1272,449,9555,631,4,0,17,0,60,1042,231,1,90,2101,68,5560,693,78,40,37,439,228,50,1,45,116,129,97,9,7,1,0
TCGA-85-7710-01,2652,4765,567,10172,1389,3899,647,1903,955,4701,586,5656,473,84,53,4927,1328,2882,140,5629,815,3370,3443,962,763,889,204,2,105,271,585,1156,0,79,1287,6,0,631,1,859,1789,628,2,35,393,0,515,966,580,72,2910,438,267,1762,8877,763,235,0,6,0,45,140,39,0,500,77,155,506,21,13,15,22,49,200,105,10,40,19,60,11,4,9,1,0
TCGA-85-7843-01,9306,4006,1129,23214,445,7352,172,557,1288,2187,980,4423,344,482,1364,604,3414,4114,41,8946,11406,4944,1894,693,898,293,518,0,1441,195,3170,410,0,755,2265,23,2,1615,173,39,622,3131,1,60,926,4,468,89,358,277,1552,91,605,949,4943,2049,8,0,10,6,34,276,679,1,175,1194,43,1483,230,35,14,20,157,307,9,10,74,68,24,20,3,3,2,0
TCGA-85-7844-01,2963,2742,695,10977,17,5377,727,1946,899,2624,1174,8020,286,342,412,8134,1600,9252,124,15003,1150,2471,3239,410,1092,118,824,1,265,355,21670,1670,6,100,2070,21,11,1297,7,879,797,1153,25,181,864,4,976,456,1098,586,2115,432,477,807,11725,608,220,0,13,72,95,227,298,54,1471,344,305,1015,390,25,30,98,231,191,52,38,63,39,38,20,3,236,0,0
