Unnamed: 0,TPX2,UBE2C,CDC20,MYBL2,BIRC5,FOXM1,CCNB1,CENPF,MCM4,RRM2,ZWINT,CDK1,PBK,PRAME,PSAT1,TK1,IGSF9,MKI67,RACGAP1,MCM2,ECT2,KPNA2,HOXC13,TIMELESS,ATAD2,HOXA10,EMP2,PRKCE,TNS1,SHMT2,C19orf48,SKP2,MCM7,HECW2,TGFBR2,LMNB1,PAICS,ACTL6A,NCAPD2,FKBP4,PKP3,LMNB2,BOP1,TTLL12,POLR2H,ALG3,PREX2,PPP1R14B,H2AFX,SLC1A1,LIMCH1,SELENOI,UTRN,SLC16A1,TMEM100,PTGFRN,TSKU,PLPP2,GPD1L,CITED2,PTPRM,EPHB3,KLF6,RECK,VANGL2,FAM162A,SLC7A11,PROM2,LRRK2,PHGDH,DSC2,NEDD9,SLC1A4,ERO1A,PLOD2,PAX3,IGF2BP2,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,SERTM1,PRDM16,SELE,PROK2,GREM2,HOXA9,ELAVL2
TCGA-LA-A446-01,7748,4364,2590,9348,5009,6865,4178,8914,8121,3584,1181,3434,963,4364,9216,8302,4462,9740,3780,6022,5716,10357,273,5391,4009,314,7023,871,7059,13356,3805,5408,16176,297,2511,3492,14527,5183,13933,8233,12391,11445,6746,11215,4874,10353,100,4712,8417,162,2821,5818,3341,5569,328,16164,11984,3320,1146,1821,1036,9185,5814,383,7136,6804,19253,11321,1979,13756,13652,4640,7457,6327,3203,3,1324,572,536,7,28,275,253,9940,137,116,646,174,1,5,13,0
TCGA-LA-A7SW-01,14160,12302,16274,7831,4945,7537,6722,5391,11010,4953,11192,11736,1544,2650,4512,5916,2670,7476,3691,942,4870,13436,545,3239,4426,234,736,270,3108,6889,12532,2784,8293,418,2949,2298,8876,4454,21269,14880,11658,11716,11462,4293,4056,10309,161,15137,7195,19,159,3388,1112,8315,6,10484,2579,2793,567,898,935,2136,3249,350,4076,694,3062,4019,153,5934,5491,547,1491,21320,1596,10,9725,964,227,5,768,231,9099,9636,1701,4,17,187,125,17,129,324
TCGA-MF-A522-01,10765,5049,4652,7968,4555,11729,4496,10549,10926,9307,1243,3442,1401,1152,4981,5347,3912,17413,2562,3806,10886,12846,319,3143,4283,412,10167,862,2264,9886,3294,3248,23674,92,1389,3790,11415,8904,47453,26141,8345,9926,7885,8875,7069,14391,22,4635,3264,64,1403,13490,2310,4478,2,9649,15005,3169,1010,672,199,12441,1643,163,11724,9229,11848,12044,82,3226,2848,1418,4397,12469,2191,5,14328,305,294,1,456,307,80,2871,921,185,220,10,2,3,28,2
TCGA-NC-A5HD-01,7703,3249,3486,5825,4130,2582,3504,4359,3451,4551,2580,3018,665,34455,3059,4993,1888,3867,3342,2489,12493,6360,348,5786,5841,209,939,410,1721,4174,2566,3667,8083,314,2484,3394,6725,7452,6040,4646,6608,6856,5635,3683,12358,8707,28,4050,3237,106,372,4320,951,17107,44,10764,4010,2941,349,1470,482,5787,5314,213,4232,9157,3833,1490,346,7425,7350,4242,2818,19812,13849,29,15491,414,390,1,56,203,266,7308,455,151,257,13,8,8,128,0
TCGA-NC-A5HE-01,3832,5374,1777,4319,4411,5796,5372,9386,3935,4660,3062,3170,909,6831,3706,6849,7941,7178,2878,1968,4467,7515,80,5382,3015,258,10791,420,5240,4971,5450,1384,8281,501,3202,4926,6075,4752,8272,18480,3217,5342,4318,4996,6565,5333,134,1102,4431,91,3006,5210,3854,3249,15,7177,4530,6204,638,2100,1141,2582,3216,448,9071,2423,2981,7786,1004,6902,1734,2799,2958,5730,8471,0,2070,357,138,1,313,669,377,4182,79,16,144,327,6,8,43,36
TCGA-NC-A5HF-01,4466,3576,2515,3579,1541,1907,2238,3540,10307,2571,2425,3750,863,1088,1178,3590,4989,4553,2673,1776,1570,2876,95,3018,3069,135,5112,940,2759,11667,3872,3251,8570,392,2125,1518,4168,2900,7561,5906,8912,8578,4976,5688,5087,5431,60,5520,2976,197,646,3219,1791,12054,15,15909,6863,4887,485,1811,753,6245,8998,74,4577,5031,5183,10597,1116,3005,20210,1597,2639,19010,3072,65,5297,522,508,3,1066,174,853,8843,2119,2,312,8,0,35,17,14
TCGA-NC-A5HG-01,9780,5072,4159,6616,5551,3561,3129,5113,10571,3815,3490,3956,1128,1022,6163,7452,4988,8283,3445,3081,2862,10507,259,5710,6105,234,3242,501,274,12497,5501,2494,25572,213,781,3444,11661,3472,10220,9129,18333,7568,12477,9304,4834,4087,28,5181,2282,139,57,5002,1753,13571,4,9313,1442,259,1487,484,456,3966,6680,40,14423,6249,570,1509,37,3185,16099,84,428,14326,3412,112,1518,51,7,0,9,11,62,3945,251,0,7,7,5,1,21,1
TCGA-NC-A5HH-01,7465,6674,4185,6247,5177,5586,7672,10414,15022,3773,3498,4984,1018,3164,4796,4435,15019,13128,3699,3964,3624,8278,899,4897,3745,292,3658,174,6498,11796,4660,9478,12680,247,2506,5686,16313,4352,14901,9572,3250,11086,4061,4604,4125,3664,23,9719,3848,73,67,3052,1508,4261,17,9849,2266,582,703,1059,243,839,2497,301,5711,18366,46,852,176,4135,7580,1675,475,5113,8395,3,3587,1060,522,68,316,54,135,10460,158,0,29,6,6,11,270,0
TCGA-NC-A5HI-01,5872,4347,4633,6088,4217,3325,6556,4541,7359,5125,3695,3213,913,2443,1984,9861,6828,4841,4294,3684,7055,9206,52,6120,3190,378,9396,594,1770,6143,4782,3153,12532,569,600,4147,6314,6639,8950,8307,8319,12380,3238,5947,6446,5568,51,6590,3049,595,92,3039,2308,3555,38,8203,2286,3016,1304,1124,530,2380,10125,147,6202,16413,659,5938,385,6048,21421,1239,919,11872,7014,41,7776,362,20,3,7,233,116,1410,476,2,26,63,25,16,20,0
TCGA-NC-A5HJ-01,6724,4987,3943,3390,6273,4494,3409,6280,3647,4510,3409,4609,530,5664,1469,2818,3354,7416,5638,3302,4340,6398,127,3806,4876,2,22185,1331,19332,5262,2191,2535,10396,903,10303,6092,4268,3887,9501,9170,1757,5213,2822,2040,2335,1679,562,2102,1652,1583,8540,2364,7649,2162,1812,3169,1659,2171,2929,5875,3506,1685,9951,717,3617,2301,375,2033,9611,8168,2108,6743,2525,3124,5100,1,3085,2890,59,200,5,2147,1420,22489,74,285,455,6,4,36,10,2
