Unnamed: 0,ANLN,CCNB1,ZWINT,PITX1,CDK1,PBK,PSAT1,TK1,GJB6,RFC4,WDR72,FAM83F,FAM83D,KPNA2,HOXC13,UBE2S,ATAD2,HOXA10,OTX1,IQANK1,PRKCE,DAPL1,AK4,RPL39L,ARNTL2,HECW2,TGFBR2,GBP6,FBXO45,MELTF,CAT,XXYLT1,PTPRZ1,BMP7,NPM3,TTLL12,POLR2H,ALG3,PREX2,PPP1R14B,SLC1A1,LIMCH1,PDK1,SOX21,GGH,UTRN,SLC16A1,CYBRD1,TMEM100,EIF4EBP1,SIAH2,BCL11A,TSKU,GPD1L,KCTD1,CITED2,PTPRM,EPHB3,YDJC,EGLN3,RECK,TENM4,PIGX,FAM162A,PAX9,SLC7A11,BDH1,LRRK2,FST,SMO,FRMD6,LAMP3,TPD52L1,LGR4,RGMA,SLC1A4,MGLL,SERPINE2,PAX3,IGF2BP2,DDAH1,KCNQ5,LEFTY2,CYP2S1,TBX18,ENPP4,STON2,AKAP12,LPCAT1,ULBP2,PC,ZNF703,FGFBP1,WNT7B,SERTM1,PRDM16,SELE,PROK2,GREM2,HOXA9,ELAVL2,NOS2,GSTA1
TCGA-LA-A7SW-01,3958,6722,11192,1659,11736,1544,4512,5916,361,2370,1544,1530,2892,13436,545,6953,4426,234,410,5889,270,67,1021,2867,9713,418,2949,486,1152,418,941,687,1724,633,2111,4293,4056,10309,161,15137,19,159,403,38,5214,1112,8315,1627,6,3086,1194,469,2579,567,2259,898,935,2136,2721,348,350,252,437,694,244,3062,550,153,11197,1956,8583,727,2143,595,179,1491,847,10081,10,9725,964,227,5,2402,768,231,3654,9099,9636,1701,959,703,7918,1895,4,17,187,125,17,129,324,95,1
TCGA-MF-A522-01,4931,4496,1243,1334,3442,1401,4981,5347,4201,5793,2234,167,2817,12846,319,3170,4283,412,720,4036,862,259,1658,1546,9748,92,1389,3179,7312,3881,1084,4318,8219,5820,2481,8875,7069,14391,22,4635,64,1403,2332,3387,4305,2310,4478,4720,2,3527,3757,1543,15005,1010,3370,672,199,12441,1892,6356,163,697,5427,9229,407,11848,2005,82,113,1610,4545,598,8624,628,289,4397,459,1601,5,14328,305,294,1,5439,456,307,1320,80,2871,921,1120,1908,7044,1741,185,220,10,2,3,28,2,166,633
TCGA-NC-A5HD-01,2905,3504,2580,4075,3018,665,3059,4993,1524,1216,824,1092,1639,6360,348,1169,5841,209,1063,3677,410,3848,3672,853,1573,314,2484,5214,680,887,1469,1269,7243,3044,1381,3683,12358,8707,28,4050,106,372,5310,1762,1520,951,17107,2417,44,5365,3351,1881,4010,349,2187,1470,482,5787,5159,2444,213,398,1477,9157,1443,3833,566,346,7391,4799,1553,7376,3263,4136,3365,2818,509,16528,29,15491,414,390,1,2343,56,203,1558,266,7308,455,544,1985,6563,5534,151,257,13,8,8,128,0,2493,18865
TCGA-NC-A5HE-01,2848,5372,3062,413,3170,909,3706,6849,85,3652,4276,889,1780,7515,80,4409,3015,258,215,2688,420,373,879,3104,1193,501,3202,1794,2914,12289,1415,2477,2224,1835,1464,4996,6565,5333,134,1102,91,3006,2958,1322,1320,3854,3249,6168,15,2836,2861,1245,4530,638,1653,2100,1141,2582,1387,6878,448,1106,4904,2423,139,2981,3681,1004,121,3092,1402,2844,5576,1502,763,2958,754,1294,0,2070,357,138,1,7584,313,669,751,377,4182,79,604,1438,356,1348,16,144,327,6,8,43,36,44,818
TCGA-NC-A5HF-01,2594,2238,2425,4902,3750,863,1178,3590,6302,2683,2429,3569,3166,2876,95,1289,3069,135,712,3065,940,3140,3615,968,3024,392,2125,6236,4174,1915,3068,1795,5871,4038,1342,5688,5087,5431,60,5520,197,646,3734,801,1883,1791,12054,1583,15,4329,1813,935,6863,485,2703,1811,753,6245,2033,16183,74,2340,3994,5031,2515,5183,2341,1116,5839,1403,6778,1400,7429,734,3421,2639,1579,20892,65,5297,522,508,3,3303,1066,174,2223,853,8843,2119,2281,2773,1871,9751,2,312,8,0,35,17,14,69,678
TCGA-NC-A5HG-01,4957,3129,3490,6300,3956,1128,6163,7452,1024,1830,3685,1132,4428,10507,259,1278,6105,234,900,10089,501,269,2247,1205,4575,213,781,1617,2779,512,797,2588,5388,98,5074,9304,4834,4087,28,5181,139,57,3481,165,2450,1753,13571,1946,4,5043,3342,4787,1442,1487,5841,484,456,3966,2180,3057,40,66,1382,6249,18,570,915,37,3873,1959,7288,1961,2014,1998,13274,428,231,157,112,1518,51,7,0,1262,9,11,2767,62,3945,251,2273,1531,370,4778,0,7,7,5,1,21,1,35,11
TCGA-NC-A5HH-01,2503,7672,3498,11806,4984,1018,4796,4435,357,2868,3691,1374,4363,8278,899,2721,3745,292,582,913,174,7102,2894,2163,455,247,2506,483,3152,5597,7327,6612,4204,5959,2560,4604,4125,3664,23,9719,73,67,5691,173,2296,1508,4261,1107,17,3504,1714,6985,2266,703,2165,1059,243,839,1402,1638,301,554,5689,18366,541,46,4114,176,2680,3066,6347,286,7391,12065,1093,475,308,3323,3,3587,1060,522,68,843,316,54,906,135,10460,158,2618,8517,107,75,0,29,6,6,11,270,0,10,12
TCGA-NC-A5HI-01,3614,6556,3695,20545,3213,913,1984,9861,9664,3333,4281,2608,3123,9206,52,1904,3190,378,3676,5129,594,10422,3286,470,3504,569,600,29638,3990,3701,2768,4885,6551,9609,1569,5947,6446,5568,51,6590,595,92,2523,2523,3737,2308,3555,391,38,7721,9200,2214,2286,1304,3441,1124,530,2380,2130,2657,147,2653,4629,16413,3972,659,4973,385,4823,2091,6883,461,2246,1687,1358,919,1433,1693,41,7776,362,20,3,3788,7,233,4437,116,1410,476,1765,562,8904,8398,2,26,63,25,16,20,0,11744,30894
TCGA-NC-A5HJ-01,2531,3409,3409,315,4609,530,1469,2818,55,2232,1386,1153,1834,6398,127,1113,4876,2,246,411,1331,46,2075,867,672,903,10303,47,1389,3824,8282,902,126,160,751,2040,2335,1679,562,2102,1583,8540,3228,21,739,7649,2162,8062,1812,1687,1566,910,1659,2929,2051,5875,3506,1685,580,1325,717,117,1017,2301,101,375,945,9611,93,571,472,14050,1792,756,258,2525,9221,2490,1,3085,2890,59,200,506,5,2147,400,1420,22489,74,553,284,344,381,285,455,6,4,36,10,2,153,68
TCGA-NC-A5HK-01,2794,3402,3539,981,4090,966,3144,6056,237,3845,1402,1861,1800,8197,363,2390,3953,233,504,3622,515,21,6502,2289,9163,261,2494,72,1911,9194,1565,2245,6,558,4073,4982,10973,7822,28,8560,128,2107,1714,3,1462,1570,6271,3344,17,2927,3258,55,4010,2132,709,2103,2325,1639,3306,5961,355,234,2299,2905,919,405,2839,128,27296,4192,2719,4263,1737,656,63,2426,2886,375,0,13893,1705,3,1,825,3,1233,100,7036,16655,1113,665,665,5793,2218,0,518,15,5,1,76,0,64,16
