Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,GJB6,CERS3,KPNA2,HOXC13,ATAD2,HOXA10,RHOV,PRKCE,ALDH3B2,TMPRSS11E,SERPINB13,PGLYRP3,HECW2,FAM83C,C10orf99,TGFBR2,A2ML1,TMEM79,PREX2,SPRR2D,IVL,IL36RN,TMPRSS11A,GSDMC,IL36G,SLC1A1,LIMCH1,CNFN,GRHL1,UTRN,TMPRSS11D,TMEM100,SPRR1A,TSKU,GPD1L,CITED2,S100A7A,PTPRM,CLCA4,RECK,AMTN,SPRR2E,SLC7A11,BDH1,LRRK2,FST,NCCRP1,SPRR2G,KRTDAP,ZNF750,FAM84A,MGLL,SUSD4,RPTN,SERPINB3,PAX3,DDAH1,KCNQ5,HOPX,LEFTY2,TBX18,SPRR2F,ENPP4,DUOX1,SERPINB2,AKAP12,LPCAT1,ULBP2,POF1B,SERTM1,PRDM16,SELE,SCGB3A1,PROK2,GREM2,HOXA9,ELAVL2
TCGA-39-5021-01,3716,2968,1203,1050,1318,334,11894,256,2953,242,468,255,300,17,1966,6,254,119,5,2492,139,582,441,144,44,8,10,156,8,301,2816,164,1530,3512,10,61,237,3880,620,1002,15,496,3,424,72,46,4843,2378,595,1269,84,11,10,428,2818,1351,2842,9,363,1,1681,82,910,1,43,36,1051,624,268,1461,4660,1119,2026,22,42,83,958,3,12,24,0
TCGA-39-5028-01,2828,1167,442,1029,13374,1889,6381,883,1920,259,2052,639,2623,40061,7979,1474,259,1307,3566,10604,17140,1664,155,18594,3374,690,3400,1390,2648,319,1427,5690,2006,1671,4764,89,3165,5098,1561,3229,1501,1093,13614,417,76054,22708,24537,1489,797,30594,2084,3827,7634,1974,1621,3683,340,1660,14072,0,1384,70,12339,2,142,1434,1722,4149,8207,1109,3999,775,3009,2,101,490,43381,27,46,10,136
TCGA-39-5029-01,3785,2146,606,3093,2064,1512,8140,557,3963,184,3165,903,5041,1379,12306,205,346,5796,846,5544,29,1886,156,80,268,2565,583,201,221,440,2825,749,924,2343,538,133,235,10423,5659,1884,0,810,6505,223,1928,77,1936,822,708,1962,1796,17,380,3485,2908,5385,1692,38,28696,2,821,188,2653,9,298,5,809,2336,260,1284,7539,2677,712,14,244,176,2829,1,35,5,5
TCGA-39-5030-01,1669,1274,511,256,73,674,6960,69,2075,116,588,302,531,285,374,108,546,184,31,4018,1076,390,138,536,382,80,194,161,24,239,1239,189,742,3391,353,48,336,3480,400,2364,73,2143,162,357,2463,305,350,622,541,498,51,62,8,453,1935,1394,1868,36,26,38,1168,629,1670,11,127,24,721,311,466,1294,3909,294,286,0,47,4842,96,4,82,49,48
TCGA-39-5031-01,4280,2230,1595,3182,5149,1341,10015,753,3819,490,1952,2673,5302,2092,6304,1785,575,1139,834,3734,4438,2045,253,9938,2642,647,4119,705,432,390,1553,1745,3367,2563,5892,183,11321,11471,2340,2787,137,2420,597,695,1009,11937,541,6819,2979,30510,1589,1713,1732,3763,6797,8852,2467,475,11769,85,2347,449,9551,81,293,230,1014,3267,2530,1344,13651,830,3730,6,242,403,10811,27,91,57,128
TCGA-39-5034-01,3870,2392,1534,99,6,5,10142,226,8503,13,652,346,1247,38,8,6,640,0,1,5348,144,111,606,0,1,9,0,277,2,1026,4551,86,147,3451,0,69,3,5478,1262,2203,2,519,2,503,0,2,6820,681,289,303,1,0,0,184,4067,7217,253,0,11,1,7178,73,1690,10,10,0,1805,54,1,1196,108869,10,466,3,2624,22,24,39,19,2,44
TCGA-39-5035-01,4296,1194,1850,105,1926,196,8295,1336,3344,468,1566,587,1928,225,2169,1073,139,338,9,2208,176,2104,54,578,339,6,18,940,103,99,2612,102,750,2433,4,111,206,2523,850,4237,10999,947,6,220,3,870,59,989,1541,241,49,22,171,1718,1194,671,674,10,1631,0,507,570,1402,21,4,38,927,1253,38,440,4282,355,974,1,19,62,1222,3,16,139,13
TCGA-39-5036-01,3910,1586,1189,2082,2761,764,9068,50,1860,167,3756,547,1484,3772,4112,758,149,1928,479,1524,3804,1140,10,1958,3528,354,506,127,26,87,752,769,2012,701,2894,44,5488,14249,1067,2530,1,132,450,123,11,2237,7324,2135,527,1176,754,141,394,2095,3237,1545,1189,267,2450,12,667,526,2600,9,84,29,573,1473,2110,113,3737,765,1737,28,247,8,1014,0,1,9,5
TCGA-39-5037-01,7185,3146,2918,2642,30290,6083,16272,570,3667,1419,5513,471,5055,737,2435,417,148,807,797,492,1505,1677,33,1589,267,942,188,846,1143,119,1628,743,2927,1459,3332,123,4605,6873,1509,446,20,218,39,459,46,1003,12056,6469,1765,6112,166,309,6017,5217,11367,2258,5543,94,2174,65,904,175,1815,0,926,71,444,3043,392,108,4083,369,855,111,205,52,600,1,9,73,1
TCGA-39-5039-01,1357,1043,296,314,6026,472,4140,195,1091,132,1800,508,1165,344,9882,29,249,310,82,3678,7610,671,183,44,224,759,38,744,66,1636,2505,62,511,1981,1825,97,1205,2926,1345,3835,6,1432,6879,325,241,26,523,475,5850,1560,155,5,61,698,1705,5684,1873,6,4703,0,2179,107,9807,8,254,1,459,4024,1387,1532,24882,757,753,0,131,1899,4611,2,23,5,9
