Unnamed: 0,CCNB1,ZWINT,PITX1,PBK,GJB3,KPNA2,HOXC13,LYPD3,ATAD2,HOXA10,GJB2,RHCG,PRKCE,KRT6C,SPRR1B,HECW2,TGFBR2,IL20RB,S100A7,PREX2,SPRR2D,SLC1A1,LIMCH1,LY6D,UTRN,TMEM100,SPRR2A,TSKU,GPD1L,CITED2,PTPRM,SPRR3,SBSN,BNC1,RECK,SLC7A11,PROM2,LRRK2,DSC2,CSTA,PAX3,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,FGFBP1,SERTM1,PRDM16,SELE,TMEM45A,PROK2,GREM2,HOXA9,FABP4,ELAVL2,KRT1
TCGA-60-2719-01,8147,5453,16297,1472,2444,14907,540,850,7932,517,9293,852,1784,4977,1723,1459,4536,445,283,161,459,844,2059,754,3241,150,1230,7661,3115,2028,885,1106,43,4728,465,654,5189,2221,7953,4040,60,3576,512,10,1173,1434,346,13640,2335,4034,6,136,157,813,21,5,26,66,2,1004
TCGA-60-2720-01,3167,758,1144,485,6754,5151,532,3214,1285,245,18900,754,264,283,3951,335,2286,491,18394,103,2571,408,401,622,1227,76,3190,5540,474,795,478,29,158,1040,196,202,10162,838,1789,2941,6,1066,82,13,94,468,1550,14388,1613,1649,1,140,119,16463,15,26,27,147,10,306
TCGA-60-2721-01,1689,2684,15759,304,4727,6621,74,16427,2544,204,13589,3000,952,17290,14566,382,3963,3669,128,185,4405,325,417,9386,4690,95,17164,5926,1459,3153,1939,10855,928,6430,609,243,10551,940,5946,27150,64,566,97,10,277,402,594,2350,161,2849,0,39,23,1602,12,24,26,15,6,2241
TCGA-60-2722-01,6350,3209,4820,2005,5058,14723,496,20524,3400,134,12083,5884,1178,10572,32109,595,1003,1754,716,60,9086,79,542,355,3317,9,9798,4736,1891,706,1166,40099,5140,1027,269,7045,1668,134,32872,23881,7,447,410,2,137,481,383,3113,1569,7543,57,231,155,1174,9,12,22,8,1,1839
TCGA-60-2723-01,6376,3421,5854,1580,1082,18385,32,680,4556,276,5365,816,726,1041,3363,424,4142,560,736,48,505,285,4990,17,6022,90,854,7386,822,4418,696,6262,23,913,432,10934,1781,1735,7313,11915,2,1411,662,3,558,489,1610,4765,641,7243,18,181,51,15140,12,198,5,27,45,33
TCGA-60-2724-01,4804,2963,6359,1170,4761,15569,115,6796,3708,537,35211,191,910,3352,39417,513,24742,7135,478,173,14119,301,333,6986,1497,33,32996,6589,1497,752,1218,59001,2908,4220,505,585,877,233,15774,31578,27,1808,433,69,513,220,852,10826,1147,16463,4,67,47,3861,147,41,29,85,2,12
TCGA-60-2725-01,3270,2454,2663,924,1873,9196,207,8159,2526,195,6463,13601,1299,1283,7441,738,6093,1869,1289,237,7049,679,2327,34,4122,554,7511,2663,1200,4965,2140,12444,333,851,480,466,2029,5024,9076,16538,124,1753,156,8,84,2092,2901,11646,779,1180,22,129,927,5085,67,40,27,1646,34,48
TCGA-63-5128-01,2395,1082,5619,877,2746,8199,158,2416,3459,462,16826,5979,255,9425,53854,339,1426,590,2169,99,14363,314,1498,242,2431,14,14005,4933,724,3082,1937,1064,13230,2711,293,2176,2224,3729,31174,12724,1,627,395,1,826,144,998,6467,466,5293,6,480,63,2581,7,14,16,16,1,3
TCGA-63-5131-01,3865,4202,10559,761,1092,19479,12,1722,3212,11,20217,4126,932,4233,13066,735,3054,1808,135,264,2325,742,635,9,4284,161,12695,6420,3158,9285,954,1021,207,2105,186,1106,1653,1004,4089,7723,540,674,10,19,125,2224,896,5086,120,304,22,43,480,1570,30,18,16,230,2,723
TCGA-63-6202-01,6763,4028,1888,591,765,20974,1,82,7403,7,3036,3,908,171,37,1668,13569,19,177,209,28,885,6254,52,5648,343,20,3396,3293,6214,1448,7,223,5,746,566,1873,1531,8188,335,1,4647,1124,1,3,594,1601,41749,135,26,15,63,56,921,23,15,11,60,2,108
TCGA-63-7020-01,1848,1516,945,939,2606,3493,207,6599,3279,253,2525,439,549,358,3284,453,5241,572,7,79,198,175,972,12457,3005,98,270,6059,1616,2161,808,3022,173,1561,148,495,4002,1644,2518,4836,3,1239,108,2,181,288,1979,4855,585,1260,92,148,221,2884,3,47,5,44,2,43
TCGA-63-7021-01,2460,2126,15180,361,2684,6485,740,20259,3165,120,19944,119063,357,36329,53429,409,1954,2847,19649,131,44525,624,1341,11494,4565,23,75140,6019,794,930,874,100563,22032,5232,346,1358,11936,671,28455,15517,0,280,54,0,270,423,449,3199,3051,587,1,30,126,1547,11,19,9,328,2,2
TCGA-63-7022-01,749,1889,3909,160,670,5277,24,3255,1276,107,7360,2098,852,5408,3383,922,7598,654,44,245,2512,226,1130,74,3258,100,4895,6647,754,2141,1742,6098,295,1378,1021,418,699,720,7219,1552,1,755,116,2,19,488,1752,3361,242,141,17,84,82,2535,5,21,15,117,1,75
TCGA-63-A5M9-01,5857,5536,1132,1624,230,14249,213,369,4579,601,3226,910,1101,399,131,363,3900,1975,2,117,12,237,13270,1,5130,252,278,8295,660,1964,1389,34,20,519,643,14749,4636,1391,3380,4975,748,1401,361,3,1151,554,999,3563,230,5428,162,41,70,959,5,99,53,43,3,43
TCGA-63-A5MB-01,3977,3889,1767,2520,476,10440,354,14947,5571,193,2055,17,912,704,577,565,1808,167,53,116,143,85,4932,40,4262,156,180,6701,1000,1380,2017,176,118,1337,567,7691,11235,1755,3233,3409,9,574,181,9,2011,2165,1396,5316,280,6657,8,891,112,471,2,41,73,171,2,241
TCGA-63-A5MG-01,1890,1042,6450,638,2121,3081,154,9878,2389,149,21057,27,354,18556,19233,687,3189,6368,36672,151,13122,307,871,15590,2064,85,18231,4336,1232,1641,865,34052,1244,2789,220,291,7663,606,10034,14990,7,430,211,38,8,211,1085,5814,746,7853,0,67,79,5485,11,12,32,40,29,11
