Unnamed: 0,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-891a,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-70-6722-01,1106,25500,30779,30,143,192,4,53178,1013,30,2,3,1,0,0,0,1,0
TCGA-70-6723-01,5898,61777,220268,232,165,169,7,490061,225,60,1,0,92,1,0,0,0,0
TCGA-77-6842-01,29001,123114,249794,249,3,491,44,363769,3196,160,53,0,1,255,0,0,1,0
TCGA-77-6843-01,5909,192204,155553,229,160,944,36,236580,1538,82,1673,3,0,3,1,42,3,0
TCGA-77-6844-01,9704,205903,29573,16,213,799,26,28444,1071,7,12,0,0,0,0,0,0,0
TCGA-77-6845-01,42922,154616,138322,159,11,100,113,121583,915,36,9,0,0,0,0,1,0,0
TCGA-77-7139-01,3956,127940,93085,183,3,251,19,124268,687,9,18,0,0,1,0,0,0,0
TCGA-77-7141-01,2845,93382,99521,224,64,1441,12,184529,1585,13,368,1,1,3,1,1,0,0
TCGA-77-7142-01,5017,26843,17919,57,9,222,18,16373,2170,18,4,0,0,0,0,3,0,0
TCGA-77-7335-01,9478,41600,40085,137,19,64,3,86493,1252,41,24,0,0,0,1,0,0,0
TCGA-77-7338-01,18503,154254,54476,131,261,143,15,100829,3137,12,165,1,1,0,0,39,0,0
TCGA-77-7463-01,11278,249060,67822,153,69,1073,33,71004,4624,23,27,1,0,5,0,0,0,0
TCGA-77-7465-01,9197,133867,36972,153,190,1049,16,74108,1536,18,0,1,1,162,0,1,0,0
TCGA-77-8007-01,9539,141,21843,42,347,1468,16,36129,738,19,1,2,0,0,0,0,0,0
TCGA-77-8009-01,18748,54645,82559,226,203,151,9,199539,1039,45,8305,10,3,7,0,18,1,0
TCGA-77-8128-01,13976,61038,63509,110,19,547,54,68671,564,12,6,3,2,21,1,1,0,0
TCGA-77-8130-01,6652,54018,23533,44,328,85,1,43193,604,17,3,2,0,0,0,0,0,0
TCGA-77-8131-01,9411,41373,7931,45,34,1132,7,19411,5176,51,18,9,2,1,1,1,0,0
TCGA-77-8133-01,5653,81256,52539,193,25,535,18,118625,1300,18,3,0,0,66,0,0,0,0
TCGA-77-8136-01,24085,38390,12928,20,827,141,23,21732,2522,58,60,19,1,0,0,0,0,0
TCGA-77-8138-01,3678,34351,18775,31,323,23,5,26634,1061,35,2,0,0,1,1,0,0,0
