,MIR205HG,LANCL1-AS1,DLX6-AS1,LINC00491,AP000866.2,POU6F2-AS2,AC027288.3,ADAMTS9-AS2,LINC00968,AC011374.1,ADAMTS9-AS1,NAGPA-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC00393,AL355388.1,LINC00355,AL358334.2,SOX2-OT,AC105206.1,RBPMS-AS1,AL139385.1,AC078778.1,AL512662.2,LINC00392,AL162511.1,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,AC008268.1,VIPR1-AS1,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,MIR130B,AC006238.1,HOTTIP,LINC02555,PART1,LINC00470,AL033519.3,BCRP3,UCA1,AL157895.1,LINC01705,AP000357.2,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,LINC02489,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,AC079467.1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AC087612.1,MUC2,LINC00173,AC061975.6,LINC02544,MLIP-IT1,AC012640.1,LINC02471,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AC062015.1,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,LINC01269,HCG21,AL021395.1,AL357518.1,SSTR5-AS1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,LINC01671,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,AL122019.1,SRGAP3-AS2,LINC01612,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,LINC01160,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,AC007207.2,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-39-5034-01,27,9,44,1,13,165,33,5,8,4,20,11,7,79,918,135,0,1,0,1,25,0,17,8,11,1,0,18,392,0,0,58,3,3,17,26,0,3,10,2,2,0,0,41,1,57,7,1,7,11,139,29,36,2,2,3,11,97,1,13,16,0,3,0,0,17,1,0,4,0,5,1,3,17,0,48,4,1,0,3,0,0,29,10,5,1,0,0,13,0,1,0,18,1,31,68,3,1,91,9,29,0,0,0,8,1,4,0,0,26,0,3,1,0,1,8,12,11,0,2,0,0,10,49,1,47,1,1,347,0,0,4,265,2,5,0,0,1,0,2,1,0,0,0,0,1,37,1,1,21,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,15,205,0,2,0,1,3,0,0,0,0,5,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,4,0,1,1,9,0,0,0,2,1,1,0,0,0,0,1
TCGA-39-5035-01,7612,6,0,468,9,2,15,6,12,21,3,0,1,15,997,52,2,1,1,1,35,0,7,23,16,0,0,3,180,1,0,854,0,1,0,17,0,8,2,0,0,2,9,3,0,11,1,37,8,34,1,5,1424,0,2,0,16,0,2,87,0,0,1,3,3,220,1,2,3,0,8,0,3,22,0,6,5,0,6,3,0,4,0,17,30,1,0,0,0,9,1,11,2,2,6,9,69,2,413,6,1,1,5,0,18,0,6,0,1,6,0,19,0,0,0,0,0,21,0,15,1,0,0,0,38,2,0,0,49,0,1,4,3,3,1,0,0,0,0,2,1,0,4,5,1,4,3,0,1,4,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,7,6,0,0,0,1,1,4,9,1,0,0,0,0,0,0,1,0,3,4,0,0,855,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TCGA-39-5036-01,2132,1,361,199,20,85,11,23,2,285,6,4,40,230,518,205,2,0,150,66,380,0,98,101,6,2,0,18,61,7,1,4,11,1,22,46,0,196,0,43,2,3,17,523,127,13,1,697,3,12,18,38,54,1,11,3,6,4,0,0,17,6,5,2,11,16,2,1,9,18,35,110,4,26,2,11,12,2,8,8,7,12,98,157,45,119,0,2,2,17,0,0,1,6,235,96,40,1,61,6,68,0,6,0,31,0,1,0,1,30,2,1,0,0,2,0,0,4,0,9,0,0,7,1,12,2,1,7,17084,1,1,24,16,6,0,3,1,0,1,3,0,0,0,11,66,4,2,0,64,1,0,0,3,0,12,0,0,0,5,5,3,0,0,2,0,6,13,1,2,0,0,1,0,0,0,0,0,0,0,4,0,3,0,1,0,8,0,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,1
TCGA-39-5037-01,5157,13,289,55,15,515,28,5,1,375,4,2,32,924,1007,167,149,3,56,360,8400,0,12,92,88,7,8,32,78,37,5,41,4,4,164,114,0,97,7,19,6,37,16,168,107,12,1,5,3,3,29,75,0,1,92,647,156,16,0,6,47,42,3,22,10,33,2,6,19,10,79,1534,3,82,171,6,31,0,24,9,24,48,12,65,4,7,0,8,1,3,0,5,30,0,177,44,49,2,1783,232,5,0,4,0,3,0,5,0,10,40,35,62,0,0,2,0,3,53,1,2,1,0,7,22,4,15,0,14,15,0,0,13,14,2,1,0,0,2,2,7,0,1,0,40,0,312,2,4,96,24,0,0,1,3,6,0,0,0,7,7,2,0,0,5,0,7,27,3,13,3,3,1,0,4,0,0,0,2,0,1,6,1,0,2,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
TCGA-39-5039-01,1345,21,14,105,25,164,17,19,19,24,34,30,2,172,294,426,5,0,82,425,8,0,172,40,0,32,1,35,498,27,0,10,8,1,30,45,1,49,1,4,6,2,156,39,78,86,4,18,33,26,237,29,145,42,2,0,44,44,7,1,2,0,16,61,0,14,1,0,3,0,6,91,7,7,0,113,1,0,112,2,1,7,20,18,11,15,0,0,0,1,3,3,3,0,297,282,24,0,60,5,37,0,0,0,142,1,6,0,0,251,0,12,3,0,1,1,2,46,0,27,0,2,0,0,18,83,0,0,689,1,0,4,62,0,0,0,0,0,3,0,0,0,0,41,0,236,0,3,1,0,0,11,0,0,0,0,1,0,3,0,3,6,0,7,0,2,148,1,0,0,1,0,2,1,0,0,0,2,0,2,0,2,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TCGA-43-2576-01,86,2,91,1,9,57,25,9,6,1,25,0,0,171,401,820,52,0,41,29,11,0,20,131,9,0,0,3,494,1,0,91,0,18,5,10,2,11,3,2,3,0,1,1,125,5,1,11,29,58,0,33,20,15,2,1,30,1,2,0,16,0,0,0,10,49,2,0,10,1,12,22,5,5,27,51,0,2,1,7,0,1,0,0,4,175,1,0,38,3,0,6,25,1,11,0,2,0,403,5,52,2,0,0,0,0,0,0,4,205,0,1,1,0,1,0,0,843,1,24,1,2,3,7,0,1,0,1,816,1,1,0,242,18,0,0,0,5,0,0,3,18,0,0,230,173,0,3,3,0,7,1,0,1,0,0,8,0,0,0,0,9,0,11,0,1,3,1,0,0,2,0,0,1,0,1,0,3,1,0,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,26,66,1,1,0,10,0,0,0,0,0,0,0
TCGA-43-2578-01,1499,39,288,61,50,14,41,20,20,5,16,19,1,639,1206,331,115,5,35,22,458,5,46,82,62,26,0,52,303,2,0,61,7,10,40,325,3,1,7,34,4,23,94,99,167,19,7,111,21,19,30,34,341,9,3,0,93,14,9,1823,94,1,6,35,130,185,8,0,24,1,7,0,4,25,0,29,2,6,61,23,0,10,9,165,4,96,0,0,8,4,2,7,41,25,27,2103,6,1,2466,22,259,1,0,2,0,15,45,0,25,73,1,8,6,0,20,4,0,4,0,33,6,1,1,1,217,30,0,0,160,0,3,182,78,2,2,0,0,1,6,0,0,0,6,25,1,9,1,0,31,0,2,12,5,0,0,0,18,5,4,0,16,1,3,1,2,0,30,54,0,0,1,1,0,126,36,0,9,6,1,0,0,0,0,0,13,0,0,0,0,0,2,0,8,6,0,0,2,6,1,0,0,0,0,1,0,0,0,9
TCGA-43-2581-01,3,1,3,0,88,1,28,11,13,4,17,13,1,5,869,1038,0,0,0,2,17,1,171,24,6,3,0,115,343,2,0,0,46,2,0,10,0,2,0,12,28,1,20,0,0,13,14,0,33,8,1,14,17,12,0,0,13,3,2,2,3,0,2,223,0,239,2,0,2,2,9,0,0,13,1,15,0,0,10,3,1,0,0,62,89,1,0,0,0,1,5,3,84,4,6,13,10,0,331,9,1,0,0,0,0,1,4,0,2,119,0,0,2,0,6,1,0,17,0,0,0,0,7,0,4,0,0,0,34,0,1,0,799,1,0,0,0,0,0,9,5,0,0,326,1,49,0,0,1,0,6,1,0,1,0,0,1,0,0,0,1,1,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
TCGA-43-3394-01,2966,27,714,166,25,256,14,28,16,369,4,5,27,672,856,287,29,2,328,48,3432,0,92,97,55,5,3,35,612,131,0,60,12,29,46,244,5,87,0,24,11,96,14,140,249,7,2,9,30,29,2,144,23,7,212,10,240,6,4,53,150,10,7,20,8,83,7,0,24,13,336,0,4,146,76,21,24,11,35,11,6,11,14,126,17,65,0,4,5,11,2,8,11,1,101,175,54,3,1678,11,9,0,20,1,0,0,9,0,9,98,6,45,5,0,2,0,0,17,0,4,0,1,29,95,37,28,0,0,481,1,1,0,43,11,2,0,0,2,5,26,2,0,2,11,2,8,4,2,50,72,2,1,31,2,2,0,0,2,3,34,6,0,0,2,0,86,21,1,4,0,1,4,0,7,0,0,0,0,3,0,1,0,5,8,3,2,4,1,2,1,1,0,2,0,5,0,1,0,0,0,1,1,1,0,0,0,0,0
TCGA-43-3920-01,8092,9,443,197,5,594,50,50,269,96,57,0,3,689,1291,116,11,0,179,66,416,0,54,25,39,7,279,1,1772,5,0,0,0,4,15,47,0,22,0,13,4,19,12,67,405,3,1,1,29,227,1,16,152,369,4,19,134,0,0,66,12,5,64,0,5,24,2,0,8,2,66,299,3,77,7,49,3,15,8,20,4,1,69,67,81,77,0,0,5,5,9,28,23,8,3,2,6,1,307,11,26,0,2,0,0,0,2,0,7,32,1,4,2,0,6,0,2,32,1,68,0,0,1,23,5,0,0,0,5929,0,0,0,0,2,1,1,6,0,0,0,0,2,4,6,3,210,2,0,18,2,21,0,0,2,0,0,3,5,1,5,5,1,7,1,0,3,3,2,0,0,3,8,1,6,1,13,0,5,0,0,0,0,2,0,1,0,0,1,61,0,0,0,1,0,1,0,0,0,0,8,0,0,1,6,2,0,0,0
TCGA-43-5668-01,4,9,413,3,16,15,13,3,19,1,3,20,6,5,171,25,1,1,224,8,11,0,129,34,10,1,0,5,425,3,0,0,4,10,0,12,0,6,3,22,4,6,6,1,3,4,27,22,19,9,9,101,0,161,0,2,216,2,0,11,1,1,4,44,2,92,8,0,21,9,57,2,3,37,89,6,0,3,4,7,0,1,0,18,21,3,0,0,143,3,3,2,141,4,5,203,1,0,683,3,3,0,0,13,0,0,15,0,10,35,0,0,1,0,11,1,0,8,5,3,0,0,2,11,9,0,0,0,27,0,2,1,418,1,1,0,0,0,0,4,0,0,2,7,1,32,0,1,24,0,10,0,97,1,0,0,8,0,0,2,0,1,0,0,0,1,0,5,0,1,1,0,0,0,0,0,1,0,2,5,0,1,0,0,3,0,0,4,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
TCGA-43-6143-01,7722,67,373,897,39,59,248,13,42,41,13,2,15,37,2990,44,165,4,665,31,209,1,7,146,79,4,339,0,772,3,2,110,2,335,11,93,5,11,1,46,2,13,2,16,31,1,7,29,34,15,2,55,46,0,43,2,144,0,6,402,67,7,177,2,11,1962,12,0,59,23,125,386,213,51,198,60,16,10,0,21,5,2,288,51,23,1504,1,3,0,29,4,2,11,58,187,10,395,10,1161,206,41,2,154,1,0,2,1,0,26,475,0,14,12,4,5,0,0,127,0,26,0,1,1,5,4,384,0,0,156,1,7,0,3,0,25,1,5,0,6,7,2,1,1,3,1341,497,1,5,7,97,9,16,22,1,20,0,1,3,1,7,14,1,1,1,6,50,2,0,0,0,0,4,1,10,2,2,0,0,0,4,0,0,98,1,2,16,0,316,0,3,0,1,0,2,0,2,0,0,31,0,1,0,0,1,0,8,1,229
TCGA-43-6647-01,3163,7,55,178,11,130,72,33,34,44,16,3,29,2,214,22,14,0,50,36,56,2,21,36,11,3,7,6,1090,105,0,28,1,15,20,73,2,49,1,2,2,0,7,0,0,2,0,13,41,109,6,19,8,46,60,3,226,0,0,0,0,0,3,2,57,110,3,4,28,10,10,54,5,28,2,49,2,1,5,1,0,1,0,345,15,4,0,13,60,2,8,2,1,0,996,31,23,24,1385,16,1,0,0,1,0,0,0,0,1,21,0,5,0,1,7,0,0,59,0,22,0,1,4,10,1,35,0,0,81,0,1,3,4,1,3,14,0,1,0,1,0,0,5,0,0,13,0,2,1,4,24,2,0,0,12,0,0,1,3,2,0,5,1,0,2,3,1,0,1,0,9,0,2,1,1,5,2,11,0,2,0,8,0,1,0,0,3,0,0,1,0,44,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
TCGA-43-6770-01,9163,17,477,446,15,89,12,43,10,205,23,4,9,1795,1845,271,64,2,58,49,2993,1,20,63,31,10,10,15,892,99,1,7,24,41,40,86,4,110,3,83,9,7,18,164,361,4,3,155,97,111,3,27,23,0,3,199,110,7,6,8,52,9,44,8,1,123,3,9,42,3,65,11,2,292,2,24,13,8,41,10,9,15,3,345,26,7,1,17,1,15,0,2,15,19,261,90,105,14,3072,10,12,1,34,0,0,1,6,0,6,64,2,20,6,0,11,1,2,18,0,6,1,0,14,4,21,13,0,2,2010,3,6,7,33,4,1,13,6,1,11,12,1,0,15,45,1,20,5,6,25,71,44,8,1,4,12,1,2,3,3,0,2,0,14,1,8,0,76,8,2,1,4,4,0,0,6,2,2,0,0,0,10,0,0,15,1,0,1,1,7,1,0,0,5,7,2,0,0,0,5,1,1,1,4,2,0,0,0,1
TCGA-43-6771-01,3587,6,2,0,9,0,4,20,7,166,4,0,35,4,786,60,1,0,7,1,7,1,23,305,18,0,0,0,327,0,0,0,1,25,1,20,2,415,0,1,3,0,1,2,1,0,0,292,0,193,0,9,0,13,27,23,33,0,0,2,5,0,8,0,11,49,1,12,24,14,7,0,18,37,0,18,2,0,0,2,0,2,0,115,8,3,0,0,30,14,4,1,0,1,19,46,33,0,610,11,108,0,0,1,0,0,1,0,0,81,0,1,0,1,3,2,0,513,1,18,1,0,3,37,0,1,0,0,394,0,0,3,0,4,1,0,0,2,2,13,0,15,1,0,0,5,39,0,1,0,33,0,1,0,1,0,0,0,0,0,0,1,2,0,1,1,1,0,0,2,18,0,12,2,0,6,0,38,0,0,0,2,2,6,0,0,0,2,0,0,0,3,2,1,0,0,3,0,0,0,0,1,0,0,0,2,0,0
TCGA-43-7656-01,2571,19,172,338,18,83,14,24,8,39,25,2,28,3,1751,20,1,4,52,5,23,0,15,28,64,2,0,0,561,0,0,25,0,21,18,325,0,1,0,15,10,23,3,328,202,0,5,3,25,7,4,39,5,2,2,1,47,3,2,24,27,1,290,0,0,224,3,0,13,1,6,0,4,44,0,67,3,4,1,7,8,1,35,7,5,5,1,1,0,15,1,2,19,14,4,1,22,4,1646,1,1,0,1,0,0,0,3,0,11,47,0,2,2,1,26,0,1,1,0,31,2,2,1,0,15,30,1,2,2070,2,1,2,0,0,1,0,8,0,2,0,0,1,7,0,0,14,1,1,0,5,1,4,1,1,1,0,0,3,0,4,2,1,163,0,0,3,1,3,1,0,1,0,0,1,0,0,5,0,0,6,0,1,0,0,1,0,1,28,0,6,1,1,0,1,0,67,1,0,0,2,38,0,0,0,0,0,0,0
TCGA-43-7658-01,94,24,67,21,18,1,11,5,6,5,5,2,0,221,1549,97,2,6,0,12,1075,1,31,132,101,22,0,8,591,2,9,846,8,15,0,45,1,2,13,49,5,31,7,76,0,5,72,109,2,0,7,226,30,0,25,0,29,0,2,460,4,8,663,0,6,111,9,0,2,23,25,4,9,128,91,4,5,16,7,38,9,11,0,11,3,6,0,3,1,8,1,1,13,36,9,44,18,1,2217,65,0,0,900,0,15,8,3,0,41,69,4,0,7,1,136,0,0,2,0,5,1,10,2,5,0,8,0,0,2821,4,6,9,18,1,15,10,0,1,2,2,2,3,0,2,1,14,1,11,9,0,1,2,3,0,2,0,7,200,4,11,0,1,35,1,0,4,6,3,0,0,3,26,0,176,0,0,1,14,0,3,1,0,0,7,0,0,0,1,0,0,0,2,0,0,2,112,1,5,0,3,65,0,0,1,0,0,0,0
TCGA-43-8115-01,492,16,188,195,7,83,46,16,57,141,17,3,3,896,220,12,47,0,18,13,1454,1,5,51,27,1,218,0,911,71,0,58,0,8,17,28,1,17,5,11,0,3,5,26,73,3,3,67,25,22,1,22,23,5,9,1,75,1,0,72,12,0,7,1,1,83,4,1,14,13,47,94,4,39,0,110,2,4,0,3,4,1,1,140,18,25,2,24,0,4,2,2,36,7,9,1,21,0,1442,2,8,0,0,0,2,3,0,0,8,22,1,5,2,0,27,0,0,13,4,46,1,1,0,6,4,100,0,4,147,0,2,19,6,4,1,0,1,0,6,1,0,3,1,4,1,199,0,1,3,0,10,1,7,1,1,1,2,0,0,6,2,7,3,1,1,3,1,3,2,1,1,19,0,0,1,3,0,0,0,1,0,1,1,4,0,0,0,8,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
TCGA-43-8116-01,7581,17,212,214,3,49,15,5,7,19,9,2,13,387,917,21,105,2,0,11,120,1,7,41,28,3,22,6,205,45,0,0,1,4,6,12,1,4,0,6,1,2,6,8,4,0,0,1,9,7,4,5,5,5,1,0,164,4,3,30,1,1,2,6,0,53,0,5,28,3,7,0,10,63,8,2,7,3,14,3,0,2,17,20,2,77,0,0,1,4,4,3,7,7,315,17,7,2,540,497,1,0,0,0,0,0,1,0,1,11,0,27,0,1,31,0,0,48,0,14,0,0,1,1,9,4,0,0,1766,1,0,3,15,2,0,0,0,1,2,1,1,0,4,5,0,5,0,1,1,3,1,1,1,0,15,2,1,1,0,1,1,0,3,0,1,5,4,1,0,3,0,1,0,3,0,0,5,6,0,1,0,12,2,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0,0,0,0,0,1,0,50,0,0
TCGA-43-8118-01,2120,16,422,141,25,54,27,5,28,213,9,7,82,966,1132,288,0,2,150,227,996,0,74,138,54,20,1,43,478,27,1,74,5,48,8,165,3,1010,3,12,7,0,64,9,136,17,4,39,25,27,7,19,0,0,113,375,142,9,1,1,22,14,4,50,12,160,5,4,28,1,37,259,0,102,2,5,5,9,128,6,9,27,1,80,24,75,0,1,0,1,0,3,2,11,457,98,73,4,1016,36,41,0,0,0,0,9,5,0,1,23,0,24,1,0,0,0,0,13,0,0,1,0,0,9,3,3,0,0,402,0,3,4,122,0,1,0,4,1,1,6,1,0,7,26,1,352,8,2,56,8,6,5,3,1,7,0,1,0,6,1,1,1,1,1,1,7,44,1,4,1,1,0,0,1,0,2,4,0,0,5,0,1,7,1,0,0,0,4,0,0,0,2,0,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0
TCGA-43-A474-01,6469,11,229,242,4,123,6,8,15,178,2,1,38,760,1401,16,13,2,112,72,127,0,69,128,30,2,2,1,142,128,0,109,0,4,0,2082,1,28,3,19,6,17,0,61,409,0,0,2,19,33,1,26,82,18,1,4,16,0,19,43,23,2,90,0,10,37,0,3,2,2,26,352,138,10,0,12,3,3,1,3,5,2,2,606,113,2,0,1,1,9,1,23,19,13,3,1,9,3,603,4,6,0,0,0,208,0,0,0,3,3,0,66,0,0,0,0,8,66,0,0,0,0,0,2,3,0,0,0,19891,0,0,32,2,0,0,2,0,3,7,3,0,0,13,3,0,5,6,0,40,0,7,0,0,4,10,0,2,0,1,10,1,2,0,0,2,0,7,2,0,5,6,0,3,1,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-43-A475-01,9666,55,757,369,8,41,16,12,17,81,33,2,5,787,2187,62,5,4,0,17,1612,0,32,22,49,1,0,5,734,10,0,17,0,25,4,31,2,1,1,8,7,13,7,44,213,2,8,10,15,5,7,10,13,4,7,1,302,0,5,2,7,0,1,7,9,135,13,0,47,44,57,0,1,452,1,10,3,6,7,9,1,4,1,325,44,5,1,0,1,15,0,5,22,22,3,20,21,1,4358,18,3,0,5,0,0,1,1,0,5,10,6,5,0,1,0,0,5,0,1,21,0,0,2,0,4,1,0,6,226,0,2,0,11,4,21,0,3,0,10,2,1,0,12,6,0,23,0,1,1,0,10,0,1,3,5,0,0,1,8,0,0,2,2,0,1,0,4,0,1,1,0,1,2,0,9,0,231,0,0,6,2,0,2,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,1,1,0,6,1,2,0,0,0,1
TCGA-43-A56U-01,1692,11,108,141,15,34,8,39,12,68,76,1,4,249,1079,86,3,2,50,20,76,0,15,33,43,2,0,1,580,34,2,14,0,32,7,54,3,29,0,12,2,0,7,6,107,1,5,10,17,31,0,14,17,44,12,1,238,3,6,13,3,0,22,0,6,380,1,0,20,1,6,0,50,78,0,18,15,4,0,4,3,11,8,34,21,24,0,0,0,2,2,4,12,9,143,17,40,5,4249,7,11,0,0,2,1,0,190,0,7,67,25,6,5,1,6,2,4,34,0,175,23,0,1,0,704,5,1,4,1480,0,1,7,8,6,0,0,0,0,24,1,1,3,3,1,14,35,3,4,56,0,2,2,1,0,2,9,2,1,2,1,35,2,1,0,4,1,3,24,1,0,1,1,1,0,4,2,0,0,0,1,1,1,0,0,7,1,0,3,0,1,6,0,1,2,0,0,3,1,0,0,0,0,0,4,0,0,0,1
TCGA-46-3765-01,4331,19,146,188,11,53,5,22,32,151,7,3,10,417,706,102,473,0,81,7,760,0,28,31,28,4,1,9,448,13,4,4,0,5,24,20,1,199,0,22,2,4,35,42,158,6,6,40,27,31,3,13,11,0,1,4,119,5,0,0,4,12,11,21,1,38,0,3,9,1,79,0,0,52,0,13,13,16,88,6,16,5,11,102,22,54,0,0,0,3,4,1,4,2,16,43,4,3,1227,13,16,0,0,0,0,1,1,0,9,46,0,29,0,0,1,0,0,15,0,3,0,0,0,5,0,13,0,3,6232,0,0,3,28,0,0,0,1,0,0,1,0,0,1,6,4,6,7,2,23,5,3,1,0,0,21,0,1,1,5,2,0,3,0,0,1,0,3,8,0,1,0,0,0,0,1,3,0,0,0,1,0,1,3,15,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
TCGA-46-3766-01,1018,30,55,34,15,48,45,24,58,37,16,24,1,185,173,307,2,2,2,11,162,0,64,24,1,17,0,38,729,1,0,0,167,11,3,5,0,4,2,2,2,0,78,0,4,7,3,13,121,113,5,8,116,7,0,0,119,21,2,0,4,0,60,32,5,70,5,0,2,0,9,0,13,8,0,92,0,1,101,1,1,3,0,51,14,5,0,228,5,2,4,0,2,3,24,197,36,1,471,15,13,0,0,0,2,2,8,0,0,71,0,7,2,0,0,0,0,45,0,64,0,2,4,4,31,29,0,5,422,0,3,6,37,0,0,0,0,0,0,1,0,0,1,47,0,4,0,9,5,5,17,11,0,0,0,0,0,1,0,1,1,1,1,0,0,4,17,2,0,1,11,0,0,0,1,7,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0
TCGA-46-3767-01,2322,15,223,93,26,120,47,61,81,85,25,9,4,265,177,310,2,0,0,27,301,0,78,44,13,16,0,19,1211,3,1,111,47,8,17,21,0,20,2,6,8,8,38,13,161,13,1,8,99,55,5,31,28,62,1,2,148,13,2,2,6,2,19,39,4,133,2,0,7,4,9,21,29,15,0,82,0,2,35,6,0,3,1,77,45,43,0,75,2,5,6,1,6,6,81,120,41,0,586,6,12,1,0,4,3,1,0,0,1,104,3,2,1,0,12,0,0,14,3,45,0,3,1,9,0,21,2,5,629,6,1,8,25,2,0,0,0,1,1,1,2,3,2,27,42,39,0,2,1,11,18,24,0,0,2,1,2,2,0,1,6,2,0,0,0,5,22,7,0,0,6,0,0,0,0,6,1,5,1,1,0,9,0,0,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-46-3768-01,1009,11,828,42,10,41,6,5,10,41,6,2,26,1268,543,78,43,0,0,22,5155,0,51,83,20,2,3,4,222,10,1,18,0,5,3,43,0,3,7,25,0,2,25,53,20,4,4,8,9,19,5,20,0,5,5,4,72,1,1,9,90,0,0,5,1,97,0,0,0,21,101,0,1,15,7,12,13,5,7,11,5,21,3,346,1,3,0,0,0,8,1,0,4,1,58,22,5,0,890,3,10,0,1,0,0,0,0,0,2,9,7,0,1,0,2,1,0,4,0,6,0,0,0,13,2,1,0,0,39,0,0,593,25,1,0,0,0,0,1,0,0,0,1,10,0,2,7,2,15,3,5,4,0,0,2,0,1,1,0,2,0,0,0,2,1,0,18,6,1,1,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,14,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,25,0,0,0,0,0
TCGA-46-3769-01,1010,0,12,21,30,4,48,7,26,5,9,1,30,34,424,146,0,1,62,25,55,0,4,17,16,0,0,0,751,1,0,1,0,4,6,11,0,332,0,4,3,0,2,2,275,2,3,1539,154,557,0,66,75,64,37,0,222,5,6,7,83,0,2,5,18,21,0,3,6,12,12,1,1,9,28,8,3,10,1,0,0,13,23,18,6,497,0,0,22,11,31,9,39,0,10,14,5,0,59,36,27,0,1,0,1,0,0,0,2,0,1,1,0,0,2,0,0,172,0,97,0,4,6,3,1,1,0,5,70,0,0,2,2,0,2,0,0,1,1,4,0,5,0,0,0,520,60,0,19,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,2,8,0,7,16,0,1,0,0,40,0,0,10,1,0,12,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,9,0,1,0,0,0,0,0
