,CCNB1,ZWINT,PBK,KPNA2,HOXC13,RGCC,CDH5,ATAD2,HOXA10,PRKCE,DLC1,CLIC5,SLC39A8,AGER,ADGRF5,HECW2,TGFBR2,CACNA2D2,SUSD2,PREX2,SLC1A1,LIMCH1,GADD45B,UTRN,TMEM100,CLDN18,TSKU,GPD1L,SELENBP1,CITED2,PTPRM,RECK,C1orf116,RHOBTB2,ADH1B,SLC7A11,LRRK2,CXCL2,LAMP3,FOSB,CYP4B1,MFSD2A,PAX3,CD36,DDAH1,TPPP3,KCNQ5,HOPX,FOLR1,LEFTY2,RND1,NRGN,STEAP4,C16orf89,TBX18,ENPP4,AQP4,DUOX1,AKAP12,SFTPD,LPCAT1,C7,ULBP2,CSF3R,ALPL,NAPSA,CRTAC1,PIGR,MACROD2,ATP13A4,SERTM1,PRDM16,FLRT3,AGR3,SELE,SCGB1A1,C4BPA,SCGB3A1,SCNN1B,ROS1,PROK2,IL33,SLC22A31,DMBT1,GREM2,HOXA9,ELAVL2,SCGB3A2
TCGA-34-5929-01,4851,3457,2558,20843,160,2809,2449,5024,1088,2667,1566,388,2778,1839,6275,1579,6255,767,1387,215,236,887,2237,8158,94,547,6330,895,1274,1396,3338,377,890,1575,844,1222,2148,285,25446,304,621,5194,1008,1369,6200,1025,3092,1562,327,18,652,887,1131,611,2578,703,1690,3683,1286,2414,16930,1275,672,938,2237,1982,765,2261,682,361,7,266,1251,387,63,1,799,971,1435,988,9,412,284,3850,127,326,37,6052
TCGA-34-7107-01,4891,3624,2691,16546,144,676,1919,4588,316,683,1179,188,874,186,1554,861,3949,212,716,208,206,897,2352,4468,52,91,5333,2315,442,1299,1294,1145,1000,743,245,1483,431,198,4468,3791,40,551,62,568,562,7574,1400,2914,130,16,113,234,270,273,111,326,192,1889,2080,510,4799,2274,772,561,597,991,356,668,151,362,2,88,122,55,640,4,425,175,203,317,1,764,80,1021,36,22,216,462
TCGA-34-8454-01,5372,2098,671,10024,181,1424,2165,4394,234,941,2890,446,2147,469,3130,701,5405,528,776,228,121,1098,3062,2708,51,74,5682,986,1966,3119,1084,485,858,1220,1470,1412,2299,1351,5838,4895,671,757,4,1488,957,2281,37,2218,433,19,1372,895,1520,842,698,346,2243,2484,1834,1737,7209,1238,176,4337,2291,4201,1509,5023,324,452,0,131,782,993,1326,239,1872,926,629,1238,28,2063,387,6337,41,419,27,4321
TCGA-34-8455-01,1837,2265,198,5849,60,1425,2358,2821,99,915,1658,249,1503,560,2803,501,5335,539,1453,170,301,1622,2047,2843,508,286,9974,1555,1919,2439,1094,292,1057,1630,1567,2188,3073,384,3868,924,674,808,4,2284,891,811,587,1892,740,7,234,579,503,1309,9,696,1403,5403,1765,3519,6626,2471,798,2185,3635,3895,1310,2288,746,349,1,111,1671,473,65,217,2031,350,1629,2473,4,4984,612,7441,27,13,0,4585
TCGA-34-A5IX-01,4367,1563,771,8552,166,594,466,5332,290,548,1016,89,1935,249,697,290,2138,120,142,38,493,342,940,966,17,39,6185,582,234,4625,404,104,1878,621,12,291,319,1427,955,296,123,925,1,203,491,180,241,900,179,2,747,684,2128,160,482,713,571,2110,309,722,5010,160,1260,1074,1678,1300,603,1772,199,153,1,37,301,196,58,16,1098,58,842,5561,9,323,117,667,5,61,238,1669
TCGA-37-3783-01,11338,3348,2701,15621,211,1769,813,5074,411,423,589,134,2799,114,638,283,3296,28,74,148,186,243,2367,478,11,10,2919,550,162,1122,619,331,2579,196,22,357,705,7771,3798,9395,87,405,3,2028,202,706,31,1959,18,13,217,130,25229,15,398,575,11,1323,383,63,1740,83,1973,1945,291,33,8,724,37,21,0,17,434,150,1628,16,22,497,138,1281,333,1548,42,38,1,17,4,16
TCGA-37-3792-01,11262,4017,1135,19285,33,1679,2793,3537,439,803,950,252,4718,199,2711,606,10167,109,2046,302,761,2854,5085,3489,25,35,3530,1165,707,3552,3608,1282,1489,1231,13,2769,775,5548,10160,3379,252,492,2,2043,2139,1169,117,1958,609,0,867,239,1184,36,35,2947,42,114,898,25545,14330,90,721,7705,1353,105,13,426,18,39,0,58,31,75,998,16,90,19,28,181,174,407,233,141,2,76,4,67
TCGA-37-4130-01,6927,3282,2384,4748,151,2444,498,1241,56,179,965,256,3280,311,383,137,2740,44,89,442,41,116,2427,1296,44,22,430,279,888,1784,321,197,77,571,177,468,1250,320,891,162,38,109,3,673,2084,1600,20,5828,538,9,828,64,55,6,4,544,158,117,439,14,2544,55,16,701,243,42,10,119,233,11,0,34,1635,119,45,20,790,74,56,17,22,649,214,28,173,17,0,7
TCGA-37-4133-01,4698,3932,2222,9622,2,3406,458,3608,140,1190,428,213,1181,940,533,180,2162,81,403,54,211,2630,1922,732,72,424,7563,2934,323,2534,256,227,1399,208,358,4366,383,322,1925,1246,243,262,2,440,715,310,8,3014,183,6,220,112,1830,89,352,671,1487,462,201,591,2517,238,224,333,1739,643,58,827,48,55,60,27,285,1573,82,324,972,199,1003,110,8,750,73,141,4,54,3,335
TCGA-37-4135-01,13069,3068,957,7973,277,2187,367,1512,17,347,300,134,1159,615,531,146,841,35,176,16,233,1211,2160,492,929,160,6589,666,3229,3950,211,257,385,101,165,433,605,134,412,299,120,616,3,497,529,497,82,3735,1953,109,317,249,201,239,1,2145,356,345,104,385,1621,282,784,1461,1040,588,48,275,110,34,0,17,121,335,16,86,1009,420,151,254,10,838,86,167,4,2,33,630
