,CCNB1,ZWINT,PBK,KPNA2,HOXC13,RGCC,CDH5,ATAD2,HOXA10,PRKCE,DLC1,CLIC5,SLC39A8,AGER,ADGRF5,HECW2,TGFBR2,CACNA2D2,SUSD2,PREX2,SLC1A1,LIMCH1,GADD45B,UTRN,TMEM100,CLDN18,TSKU,GPD1L,SELENBP1,CITED2,PTPRM,RECK,C1orf116,RHOBTB2,ADH1B,SLC7A11,LRRK2,CXCL2,LAMP3,FOSB,CYP4B1,MFSD2A,PAX3,CD36,DDAH1,TPPP3,KCNQ5,HOPX,FOLR1,LEFTY2,RND1,NRGN,STEAP4,C16orf89,TBX18,ENPP4,AQP4,DUOX1,AKAP12,SFTPD,LPCAT1,C7,ULBP2,CSF3R,ALPL,NAPSA,CRTAC1,PIGR,MACROD2,ATP13A4,SERTM1,PRDM16,FLRT3,AGR3,SELE,SCGB1A1,C4BPA,SCGB3A1,SCNN1B,ROS1,PROK2,IL33,SLC22A31,DMBT1,GREM2,HOXA9,ELAVL2,SCGB3A2
TCGA-43-3920-01,6418,613,1134,10791,64,3465,448,4737,560,546,672,143,2615,236,823,550,3084,130,698,847,483,720,1784,1460,203,25,4135,920,598,2185,1047,701,735,332,67,439,454,416,741,2096,496,2606,44,625,750,422,561,7241,67,7,151,52,612,72,1238,1242,173,1044,2426,92,4612,1243,759,582,1559,207,85,468,134,741,27,15,2857,276,68,29,168,89,1849,131,77,1872,48,397,116,151,2,238
TCGA-43-5668-01,3032,3590,519,30217,61,4013,1908,6865,263,1593,1208,2023,7331,2327,3798,1771,12902,789,2676,104,104,14534,2668,16971,21,106,32801,7083,12653,7556,1551,1033,5224,1776,431,733,1054,80,1831,1692,17201,1078,0,2744,8637,151,125,8755,172,15,375,166,7280,7690,9,6024,5547,162,7267,558,82682,4475,42,2542,3656,306,167,179,160,2686,0,113,5953,626,139,46,231,947,481,310,5,699,921,129,2,14,2,277
TCGA-43-6143-01,7440,10977,1813,15867,89,2437,2831,26084,790,3795,1991,186,3856,344,1976,887,4742,334,2915,251,230,4037,3729,10842,181,118,9515,2004,1026,4301,2697,960,1702,1144,708,4417,782,105,8177,3646,376,465,45,546,2679,375,474,931,627,14,147,774,284,137,778,1527,291,7656,1712,268,3329,1201,207,708,2747,364,361,473,1002,210,2,74,150,24,59,161,196,37,2533,215,1,1137,29,33,48,1272,2959,1005
TCGA-43-6647-01,2053,1025,372,7694,603,1677,2190,2128,117,715,3637,316,3129,194,2741,1063,13843,173,537,171,1148,1025,1709,4253,37,74,17467,532,680,2511,1997,825,2867,1293,35,3490,870,1023,2488,3378,77,1347,3,15265,1605,399,221,1228,140,8,383,239,385,208,508,755,275,3664,3268,655,9640,1694,987,1286,1956,1294,659,1609,395,101,0,86,1034,72,1241,1,764,59,1281,3277,6,11835,179,1908,23,5,229,393
TCGA-43-6770-01,5617,3224,1222,22579,78,2967,4051,4190,381,1353,2354,197,2318,537,4062,1265,6294,648,1359,269,497,4507,1904,9379,255,91,14441,1301,2263,4504,1689,661,2331,1591,403,20308,2534,855,5082,1125,316,4468,6,1878,2890,1342,2616,9541,781,1,443,436,1155,1560,636,500,1294,6104,2771,1488,10771,966,757,1768,2635,5978,1292,9370,474,1591,34,230,2130,851,86,391,2326,667,1833,2163,21,1592,893,4684,233,31,2,3450
TCGA-43-6771-01,4318,2412,661,6952,2,938,2319,1845,2,849,1090,76,1593,66,1664,1518,10607,18,3177,149,52,1041,1964,5336,19,24,16689,2185,403,5644,1429,460,12068,921,1,1042,258,541,1691,1192,216,2724,1,827,469,262,99,1638,23,0,428,142,568,5,47,164,2,16964,1298,235,9959,10,1299,450,448,6,6,67,26,145,0,65,275,0,123,5,3,3,6639,35,43,6924,12,11,37,1,8,3
TCGA-43-7656-01,3908,3579,995,10870,416,714,1715,5513,903,295,662,236,1044,316,1369,559,3747,120,2852,190,132,850,1179,7272,61,16,2480,1679,332,3288,2102,600,66,922,356,1545,382,81,6612,218,67,750,47,312,2676,463,550,775,18,10,1045,171,271,51,18,572,78,1469,845,33,6731,1757,262,424,18691,36,107,511,71,49,0,78,10,27,92,133,103,57,119,50,0,316,126,11,12,999,3,14
TCGA-43-7658-01,7773,8077,1644,14626,449,933,841,9488,1356,505,1067,461,1404,1347,757,232,2187,545,874,49,1072,3568,1754,6897,475,365,2908,1203,4844,3577,1033,461,635,2593,1475,171,961,213,3044,774,275,1581,2,266,5203,1414,31,1187,322,11,657,459,237,449,3,2461,741,3217,1782,1666,24177,1817,75,1599,10692,1739,951,678,552,299,3,130,443,329,46,28,352,221,586,647,7,597,269,299,15,505,1384,1833
TCGA-43-8115-01,2064,3812,432,6858,168,1383,1505,2948,247,1155,1323,277,1398,212,1312,526,6496,225,866,213,313,942,1815,4983,44,40,3895,862,1029,1701,1659,1115,833,712,148,407,777,330,3080,3121,85,1083,9,279,2075,180,104,1531,37,1,128,180,227,23,75,996,113,1876,1565,150,3367,870,313,815,935,155,67,71,115,268,3,63,307,66,194,52,69,52,381,48,17,213,24,86,64,89,16,20
TCGA-43-8116-01,2145,2199,581,5655,7,242,754,2325,306,652,578,134,1337,385,863,198,1504,167,379,101,97,285,602,1809,23,120,2821,978,675,1905,583,116,304,548,78,401,755,148,1974,130,258,687,82,353,832,283,601,691,234,2,541,222,346,377,71,571,565,584,273,1414,3097,1014,95,724,899,1959,660,1357,311,169,0,38,219,143,79,36,954,696,442,489,10,285,284,1211,6,490,40,1783
TCGA-43-8118-01,3725,4217,1275,11851,375,1138,1622,4184,207,710,1297,421,3843,798,5064,398,5110,1735,2429,286,454,2542,1802,3617,307,228,3617,1516,3054,2194,1521,348,4324,2721,357,799,11573,885,7102,522,1108,2563,113,7733,1144,624,452,5143,990,6,159,1414,1656,2368,264,806,4047,6001,621,5977,13524,2218,681,4352,5762,10813,958,8183,1477,1967,1,334,1166,1305,43,227,3240,1051,1503,5824,2,809,1984,17721,26,18,1,12739
TCGA-43-A474-01,4962,2050,1513,4804,72,778,533,4089,628,675,436,7,310,173,572,196,1690,30,64,58,250,2607,718,4271,3,19,7007,400,450,623,351,312,1590,233,9,21579,46,134,258,890,18,1354,0,5383,241,142,1337,435,27,1,15,45,84,9,1391,17,10,1520,688,30,6400,2,634,275,227,34,7,40,8,1365,21,39,22,27,14,3,12,35,103,257,4,46,13,34,17,25,2,9
TCGA-43-A475-01,2862,3480,1805,10341,54,1124,882,5653,224,583,1036,541,1981,1162,979,293,3642,308,610,143,210,856,1844,3775,40,399,7598,1646,474,1877,1819,374,386,645,636,10972,1458,365,3361,2126,454,817,12,624,471,643,551,851,162,4,144,218,316,197,433,625,584,4937,674,1199,5378,1525,82,1816,755,1094,108,427,231,709,7,44,246,57,111,20,430,163,190,421,7,627,263,1237,33,89,0,329
TCGA-43-A56U-01,1245,1041,421,2196,114,2179,1438,2111,61,583,929,390,1446,326,979,338,4218,91,767,207,286,1280,4563,3320,141,45,1043,1090,2583,3325,1463,377,600,606,1429,254,633,2055,1147,8511,928,1030,0,1612,843,9769,88,779,493,6,299,228,3328,717,53,953,44,4915,1585,138,3699,2932,576,1778,331,152,67,16287,189,450,6,171,708,1737,570,521,320,1271,787,778,30,1969,185,282,67,12,5,182
TCGA-46-3765-01,2608,1441,652,10534,380,1968,951,1838,380,480,770,344,2532,607,1617,343,3361,359,613,89,234,1574,1359,2201,95,487,4711,1047,789,1226,855,545,838,758,195,5889,2387,382,4687,642,454,3695,6,689,1583,322,99,5441,612,6,339,519,1158,730,318,1297,1999,1522,814,2061,4433,863,734,820,1650,4400,607,3010,460,980,4,48,882,1165,21,120,2775,145,679,1097,15,990,229,1423,2,17,2,6997
TCGA-46-3766-01,614,569,150,2367,81,2126,2673,1034,104,500,2222,1354,5810,4041,4539,628,8931,935,2599,306,528,2388,1113,3290,641,3434,2444,1603,3019,2616,1472,682,3029,1478,3439,161,4477,266,8475,175,2199,592,2,2399,1355,1560,124,3952,1612,10,231,840,2170,2674,50,1278,7073,1702,2077,7515,7706,7672,395,1233,2561,13140,2196,11035,1062,788,20,165,2736,1880,311,1799,4524,427,1504,2502,5,5428,454,6224,38,18,8,14221
TCGA-46-3767-01,1405,1297,300,3500,467,2204,3341,1975,236,590,2963,995,4516,2572,4565,1138,8698,761,1835,440,249,3551,1756,4917,288,2485,3642,1339,2122,1767,2170,968,2392,1768,1867,262,2683,870,4192,2112,1400,724,11,2517,1231,651,173,4968,1254,99,2041,718,2862,1591,279,1225,6422,2634,2601,6217,7505,6467,621,1461,2328,8268,2007,5230,1150,818,9,215,4769,721,660,482,5661,384,2210,2501,23,3266,356,4425,62,38,28,11074
TCGA-46-3768-01,5540,5975,2046,22183,289,940,1254,7147,646,1006,689,375,2047,1028,1710,331,3290,409,560,87,271,3027,1340,4859,173,367,9220,1734,411,1042,586,2169,853,751,124,13146,1928,120,5943,916,298,1165,2,885,1392,1268,77,2666,385,3,233,240,208,263,556,3370,1113,2517,520,1788,6429,892,282,922,1272,2625,375,712,167,207,49,64,462,194,52,50,1278,69,357,787,8,388,220,1937,5,16,1,1243
TCGA-46-3769-01,4921,2598,798,5128,23,649,1134,3333,645,1338,2687,80,1901,130,854,301,8266,50,541,57,80,4914,3125,2232,106,20,13090,292,986,5413,1546,442,2748,689,29,4550,218,280,1735,144,27,230,0,153,2764,5032,41,1294,2009,4,116,140,115,36,881,346,71,463,2196,60,15257,245,2952,723,220,152,36,195,45,71,6,16,51,22,33,18,93,22,50,510,15,240,21,139,15,24,1,154
TCGA-46-6025-01,6625,2752,1090,27201,104,2122,1391,3691,424,830,540,103,1321,204,1617,604,15622,114,2484,76,175,2736,1032,3122,62,1,23722,1071,1100,3120,722,681,3263,2179,1,23896,1135,336,2129,4857,164,3503,6,954,499,6044,988,2035,1066,1,128,372,118,1362,343,163,370,4196,542,1415,11076,792,275,303,1588,5059,233,1415,45,411,6,3335,2657,217,11,135,252,49,2412,1598,2,299,500,821,19,60,6,2182
TCGA-46-6026-01,4201,9092,1623,12200,780,1240,1292,4359,276,568,683,135,1003,1329,1089,1148,2689,741,381,122,272,1561,1897,3844,661,126,4081,742,840,5858,2252,124,1219,2954,765,1101,657,103,658,496,1703,6278,3556,889,2099,5367,5689,3090,1032,29,119,538,429,464,2413,790,275,7054,854,743,5406,1580,1206,592,2200,526,705,4284,381,747,0,81,384,470,63,5867,351,6763,874,165,76,432,82,338,29,433,3,1040
TCGA-51-4079-01,3246,1629,1992,14043,121,2007,1051,3192,223,573,1501,332,3847,717,2662,368,2285,488,709,78,455,2865,2297,3343,80,633,5471,1196,1659,3020,729,488,2868,1069,169,12890,2927,2802,7751,3804,636,3336,14,1155,947,355,299,4177,1138,3,2144,329,2463,1559,16,617,4542,2807,749,3263,6044,1274,820,967,4460,8089,1400,9899,565,857,41,130,1854,929,306,778,7823,463,1380,1302,14,1125,533,9023,24,4,5,8405
TCGA-51-4080-01,3836,2150,1461,16575,575,1212,1215,4987,570,496,546,646,1453,306,1229,428,1463,105,193,107,61,766,1174,5622,208,102,6111,1252,176,886,527,420,1557,146,138,22623,1185,115,6406,1263,136,332,73,290,863,667,33,3194,63,6,155,70,211,100,1664,1678,389,2514,388,258,2424,654,328,276,372,525,52,451,131,472,255,289,282,114,49,169,350,58,328,116,3,561,49,88,400,13,22,4811
TCGA-51-4081-01,3228,2174,1221,9901,303,956,749,3829,222,341,947,70,814,265,1046,659,2361,162,905,134,95,1834,925,7494,9,65,8921,813,460,807,1129,656,1636,525,9,7418,419,57,590,1132,53,643,7,1186,596,235,404,2388,11,2,32,184,160,8,1163,116,30,3493,996,46,3744,7,166,151,712,58,23,132,45,828,66,84,1305,14,101,26,11,63,739,22,0,19,12,61,23,58,0,44
TCGA-51-6867-01,3659,2267,1149,12897,140,1690,2360,3604,430,1897,1162,428,1212,223,2295,734,7096,381,777,213,169,3284,2114,3544,248,100,11013,1968,360,1776,1059,531,1091,979,1228,9893,468,878,12562,42097,169,174,3,258,1042,2563,1342,1141,113,15,298,130,313,237,1326,1231,369,3137,1407,407,5767,3267,64,293,2175,623,200,898,537,369,34,145,4216,168,151,75,163,244,486,220,7,1586,59,211,10,22,6,1906
TCGA-52-7622-01,3672,1950,1181,10682,211,4825,4719,2286,259,1506,6078,3474,12488,13845,7963,807,9602,3482,6729,496,678,7510,7476,10578,250,8023,10117,2074,6761,3913,2320,1479,5654,3950,2351,29249,13242,9749,21949,13104,4963,4067,1,3620,2973,1854,507,6848,3600,13,5526,2328,5658,4482,1105,1051,11406,7334,4985,24168,26510,8477,543,5296,12609,27440,5018,19162,3217,2964,463,728,3352,4091,856,1153,13534,3298,2142,8133,47,3092,2338,35208,29,14,4,8446
TCGA-52-7810-01,4138,2166,1006,7208,565,1760,310,6460,228,437,797,24,2172,88,655,316,3993,66,1008,23,42,2348,2227,1660,5,22,14207,1691,316,1277,567,106,2012,572,6,4163,125,317,1584,1028,78,977,0,4467,485,785,294,301,1617,0,146,167,308,119,808,209,34,2494,299,276,40983,138,3288,179,354,199,190,168,101,66,4,25,166,47,3,4,50,23,164,331,4,426,857,103,53,38,0,881
TCGA-52-7811-01,4721,2808,1698,10068,155,3406,6169,4096,270,1050,2461,826,4072,3290,6885,775,7364,941,1594,658,378,2438,3049,4466,32,2004,7883,1033,2500,2395,1799,451,4128,2496,595,7645,3501,2286,7551,4013,951,1729,1,2700,1366,1989,566,2947,1555,18,1543,1600,2086,1663,1431,496,4893,6459,1071,7140,16629,6256,1265,1905,5512,12330,2518,6428,724,1634,13,162,1864,1578,234,967,4958,1829,1991,3258,7,1667,1108,16937,46,16,1,9318
TCGA-52-7812-01,9301,6115,1120,23243,3,693,952,7457,12,749,1147,821,4667,1724,4721,231,4943,281,768,91,1060,5640,1832,3435,17,799,5330,738,4693,1984,1120,351,3369,1809,248,2941,1288,2043,2480,2449,993,976,0,347,2036,253,273,16573,675,6,1453,424,1404,768,3,1570,2216,644,1411,2605,98280,1564,54,1185,1652,24771,481,1890,348,560,3,78,566,247,113,1,2597,842,820,3904,8,246,593,1624,12,8,76,1355
TCGA-56-1622-01,4019,1792,954,14211,3,2226,650,5523,146,511,1179,232,673,252,999,422,4757,221,243,227,69,899,3134,3839,14,52,7278,1665,979,2409,822,144,2373,310,17,3147,541,847,19601,17341,1095,777,4,264,1067,2879,1156,919,198,5,168,97,754,224,49,1097,539,3255,3915,335,3906,153,910,392,15201,537,165,4217,251,1677,111,32,1961,2078,101,453,356,349,2185,221,18,1974,52,411,25,38,7,585
TCGA-56-5897-01,2823,2719,573,8956,302,1446,2493,3809,225,717,2008,216,1930,126,1877,814,8959,72,788,230,315,3635,2645,4113,107,43,19751,821,720,2432,1866,1003,2191,926,640,29533,518,148,916,1256,727,850,3,686,914,918,554,2431,120,17,98,164,1387,157,547,620,49,3042,2293,158,2708,3772,368,1013,899,291,141,3573,109,168,3,392,840,113,85,863,84,397,3167,511,14,730,22,275,48,8,144,49
TCGA-56-5898-01,2308,905,371,4538,326,1695,2268,2178,81,600,1537,1046,4738,4057,3928,427,4273,1503,5667,196,270,3210,2443,4039,213,2786,6380,1360,5160,5632,1092,330,8656,2315,605,2665,4335,1813,32923,4139,2602,1609,60,1256,698,978,481,3222,3014,11,684,1988,2154,5161,414,366,4729,13074,973,12813,13773,2018,908,1943,9046,23472,3310,16624,892,2171,58,286,2043,1647,95,485,3056,1491,3121,3585,3,1228,3025,14349,45,5,4,24239
TCGA-56-6545-01,4551,2994,1273,13130,441,2956,4405,5375,189,813,5932,2171,6009,7442,5293,1019,16264,1785,7100,373,619,2894,4721,6090,770,3685,13336,1872,2973,4512,2742,1274,5913,2387,2641,769,3430,998,14993,2889,1571,1022,211,3027,1855,443,95,2943,1141,13,449,632,1295,1345,430,962,4673,3386,2875,7849,13939,7330,657,2834,6540,7883,2146,4123,1393,1061,70,231,4877,476,465,13,3270,783,1050,4163,87,5962,601,16268,275,19,61,550
TCGA-56-6546-01,6215,7148,1361,16833,2178,3336,1914,7360,32,456,3352,467,3829,1389,3264,678,5029,2422,15668,227,228,1467,4689,8769,174,476,5137,2607,3416,5754,1156,666,1857,2517,1095,295,3794,2673,11193,15917,1623,1223,1,1119,3627,2163,155,3817,2400,30,2863,1400,1335,3013,16,801,2873,1229,10405,10838,15919,4284,51,2067,6911,13869,2257,8961,1467,640,2,258,1350,1492,96,7067,2490,7316,2711,3533,8,1832,1219,16249,54,35,6,12000
TCGA-56-7221-01,3220,1859,1133,11746,350,817,283,2237,272,1272,573,192,1550,504,1469,2728,3017,290,614,117,796,1007,799,12890,55,214,8313,2292,1525,1168,1117,606,5564,515,762,5810,1917,353,2155,214,6792,2816,7,2753,4209,7153,1262,5585,961,28,226,398,1198,1193,2710,560,1803,7221,417,1598,9262,1244,558,637,1155,3571,463,9407,601,5866,7,139,596,1813,27,12673,1122,3198,617,1131,1,715,356,1231,18,10,3,5404
TCGA-56-7222-01,4480,3769,1495,19798,116,2029,731,9872,270,1403,1640,76,2299,301,2990,451,8983,720,2358,166,852,1190,1281,6372,19,49,5283,889,2184,2054,558,173,4638,2414,108,2479,10531,6498,5893,21741,580,1701,1,3891,1064,5728,1870,3520,830,66,624,797,1094,1445,4,319,1874,6349,3534,5340,10213,2436,160,1796,4479,10133,800,8576,492,919,0,148,1506,2902,408,151,1622,2430,1051,4196,15,681,707,22985,7,6,155,7983
TCGA-56-7223-01,8030,6860,2177,23323,508,2282,1894,8461,117,1784,1918,3540,897,594,1732,725,3648,487,1425,1505,151,1502,893,14832,49,97,18421,1187,1537,1652,2412,440,598,1172,46,31829,245,95,5320,561,74,1840,170,624,2007,18057,145,285,113,149,174,181,134,200,112,3354,115,875,3772,136,10867,164,112,166,8625,319,246,269,648,150,26,890,1129,38,148,139,60,87,272,49,14,215,41,150,196,25,160,126
TCGA-56-7579-01,4848,2914,1037,14146,210,735,1351,3213,18,1226,565,66,1100,137,1170,491,1335,67,245,108,20,214,449,5932,6,58,10772,1591,175,1757,738,283,2767,278,22,23143,159,59,2054,247,54,1446,0,1138,1633,276,19,32932,22,3,51,150,565,41,17,79,61,7315,268,67,3698,62,1074,671,610,150,31,183,76,2132,2,128,25,17,351,3,28,20,99,51,22,75,196,87,0,5,0,102
TCGA-56-7582-01,1972,1358,1540,8951,244,889,758,5514,308,466,431,77,1052,32,769,493,2416,133,792,135,99,882,648,5113,23,88,10655,660,150,934,621,311,2228,256,2046,11501,695,48,1258,543,2,102,6,1093,295,614,1008,1108,21,1,34,94,580,6,855,255,11,2249,922,10,2946,3262,305,240,349,21,122,109,14,382,75,83,494,18,26,5,7,4,493,21,2,386,4,13,3,9,4,22
TCGA-56-7822-01,1216,1521,482,4127,1254,1827,1605,3189,282,489,2916,475,1960,1026,2145,463,14982,348,743,235,152,4192,937,3153,223,764,6550,867,1327,3587,1939,305,10246,1490,795,3497,1137,640,3306,536,1674,516,6,4986,576,2508,94,3246,861,33,666,498,5526,830,323,1203,1801,10936,527,3039,10412,1643,7065,835,1953,4432,832,6062,758,8781,2,113,1684,959,90,2215,3908,2170,1358,1707,8,877,433,2837,86,12,7,4386
TCGA-56-8201-01,3185,1596,572,8454,574,1070,1518,3263,9,346,900,183,1969,127,1944,429,5987,32,1727,102,69,302,2197,2859,55,14,4231,430,352,1861,875,569,451,726,19,142,570,411,6770,612,37,542,0,558,553,300,19,315,25,1,90,147,437,26,459,350,30,470,2360,25,8190,319,423,1892,411,89,40,388,25,26,0,18,39,32,219,15,42,17,44,1332,23,385,75,52,9,6,5,19
TCGA-56-8304-01,3546,3021,1040,11654,9,687,429,3629,208,531,253,106,440,306,519,213,874,137,470,22,120,206,877,1145,28,54,3761,2390,591,1596,386,73,2289,387,187,236,411,213,1361,1752,373,1446,6,139,403,133,84,783,177,3,256,248,477,294,362,97,431,1607,176,824,2579,218,1390,312,3806,1046,165,1699,106,1798,0,26,146,136,29,132,290,822,4237,228,4,5528,226,353,1,22,1,4060
TCGA-56-8305-01,1698,1061,952,6226,47,823,949,2145,339,524,438,111,832,403,957,314,1864,188,564,52,104,870,2073,4546,92,147,8510,471,412,1283,810,354,1646,615,77,5323,642,309,1348,676,185,835,4,611,409,936,111,1266,266,1,212,283,322,331,613,338,335,2881,1327,727,7098,1429,1068,336,1373,1404,403,1168,177,149,23,261,871,89,344,29,538,179,487,1213,5,185,208,1745,17,9,0,2033
TCGA-56-8307-01,4397,2831,1141,8156,39,392,679,2916,491,932,324,101,2039,395,2378,284,1319,77,645,74,105,649,770,3503,10,75,3315,512,755,1589,1376,143,68,580,19,695,485,362,2204,668,1555,445,325,250,714,260,1785,101,38,0,282,89,104,53,492,4674,77,5149,308,223,2820,121,208,446,2423,231,42,215,113,33,0,115,141,28,46,5,46,64,91,90,8,176,28,73,2,146,0,160
TCGA-56-8308-01,1211,1430,430,5332,85,1025,1239,1664,192,1131,1103,217,1147,512,1367,524,2420,253,790,133,100,1624,1433,4952,49,493,6977,581,726,1610,800,638,1975,539,318,3791,1044,362,2045,2012,321,569,16,760,693,383,349,1163,210,4,264,430,691,466,669,244,563,4239,799,995,2871,663,826,447,1210,1881,460,2014,244,734,34,54,454,275,476,277,443,214,357,389,2,453,227,1243,13,7,11,2534
TCGA-56-8309-01,1292,1218,355,6113,17,2393,2424,1883,99,1122,927,1058,2238,1520,4250,978,6791,740,1758,143,576,1215,1973,5945,382,1281,2286,998,2460,5350,7731,368,1728,2530,454,390,3455,253,4691,1653,11716,644,39,858,1907,1605,289,2817,1405,3,99,334,1047,1143,74,1798,1494,2344,1348,8334,4761,9452,275,2737,1515,4825,851,1459,474,776,1,237,3702,669,350,992,2318,346,1444,1444,25,3660,501,1724,21,16,121,3234
TCGA-56-8503-01,1424,1214,395,4758,286,897,1861,2155,92,578,1772,141,1334,115,1388,420,3696,66,343,114,194,741,1760,2048,51,20,4947,447,842,1167,1326,458,618,473,38,524,583,775,1524,4225,30,549,12,487,628,536,178,1555,36,20,443,492,418,66,302,414,27,2146,1745,52,3448,1199,960,2918,713,123,266,404,106,149,12,48,377,12,577,20,144,24,514,143,42,1539,104,461,131,21,27,68
TCGA-56-8504-01,4987,2096,905,11751,77,646,895,3991,277,480,456,121,344,213,670,607,1918,53,185,54,362,856,754,2039,91,58,5346,1138,1320,593,382,269,1049,233,42,3575,296,50,2616,134,359,1145,1,165,334,168,293,683,63,0,84,73,69,86,99,224,147,2009,439,235,2754,358,168,539,2183,313,86,1078,78,1152,1,30,683,56,67,116,138,32,1507,256,1,287,90,82,1,23,1,500
TCGA-56-8622-01,300,436,53,1765,1428,962,1426,820,3,479,1596,181,2096,276,1977,286,3972,247,1489,131,95,3790,1405,1492,61,119,7043,995,1715,2501,1144,236,7778,1100,93,1417,1304,813,3109,541,700,1322,1,6149,640,2411,129,4336,1770,6,728,650,1821,2249,510,1110,1358,5286,797,2003,8425,2527,1057,1177,2850,5466,4776,4546,575,999,0,127,1692,1123,80,1768,3118,281,2818,3647,2,1082,962,6441,19,9,15,16039
TCGA-56-8623-01,338,387,44,1710,3,31210,12497,906,8,3212,19599,14079,24997,116212,21967,2489,24362,11208,33696,1184,4169,26713,32842,12829,2286,34318,1767,5253,23072,21465,9403,1881,14421,7582,28334,275,23627,37975,23600,192161,43503,6953,1,10874,4615,24816,38,16593,13303,433,14999,2836,13555,10961,12,5140,24221,10608,3714,39847,45439,13085,108,9941,13301,60835,4843,31683,2141,8485,862,1233,9017,7937,8786,139469,13590,66422,5805,7156,97,5710,5922,16253,149,4,6,12315
TCGA-56-8624-01,1182,626,171,1030,1523,1176,1615,1486,6,614,1185,245,961,917,1703,286,3247,787,4973,256,111,2521,2028,2315,166,187,3651,880,1987,2038,2046,376,3258,1050,3750,147,1450,657,2946,2626,1733,1340,7,7353,730,1268,95,1730,1165,16,81,399,3329,1988,12,647,1377,11670,856,3105,3859,15573,106,1085,1301,2861,1916,4995,687,768,1,160,2504,564,96,14607,1111,9076,2321,2230,3,1941,2322,1212,53,3,22,8738
TCGA-56-8625-01,1691,3440,832,5652,81,1105,1076,2821,121,818,1514,605,2207,497,1284,353,6475,231,1426,213,234,1427,1861,4873,161,72,3564,975,1052,2446,2299,785,2142,885,1207,312,1950,427,1711,1446,799,1648,5,1177,1499,2867,128,1434,338,2,188,210,487,407,28,1207,674,1495,1195,2037,6696,4490,421,1656,7441,1796,354,733,313,865,1,162,572,139,108,75,767,211,759,1412,3,497,306,356,105,20,7,350
TCGA-56-8626-01,637,745,111,2140,855,1675,1681,1625,262,578,2464,1518,3956,8507,3218,683,4345,1579,4470,245,620,2388,1104,3234,641,3889,2784,829,3568,3506,1876,540,5153,1871,1605,379,3655,674,5094,1105,1373,1393,5,1197,1300,1283,198,2398,1657,7,584,1138,934,2309,447,668,4956,5574,3925,9117,24630,2477,830,2529,3718,10553,2076,4099,551,1067,30,353,2699,919,20,2395,6222,5150,2356,5061,7,812,1911,5482,252,66,1,4302
TCGA-56-8628-01,836,666,206,1841,91,2251,3611,1793,210,1225,2617,1637,6215,6395,3809,779,5512,1269,3576,365,350,2123,2782,4846,535,2139,3558,1077,4084,2666,2506,399,2740,2103,1942,213,6081,1198,8854,1958,1660,2253,15,1682,1299,3080,89,2244,1511,20,995,1583,1374,1668,527,503,5641,4508,1323,9276,16182,4606,365,3115,5166,10253,1754,7169,853,1357,14,272,1917,784,192,1904,4412,4012,1326,2354,4,1906,2242,18091,31,225,1,2896
TCGA-56-8629-01,2271,1531,519,7921,287,1031,365,1457,221,798,590,166,707,211,358,233,3361,174,702,48,76,1033,1622,2270,9,7,8964,947,865,1478,613,410,877,366,6,4193,92,87,8000,1277,512,270,17,303,752,136,115,152,213,0,83,138,111,5,333,1410,4,864,1679,56,2486,10,834,338,9846,110,105,2364,88,369,15,483,1362,208,7,19,38,323,1745,218,4,17,103,74,86,15,0,4
TCGA-56-A4BW-01,2277,2796,563,5890,161,732,536,3137,406,876,492,309,561,348,598,594,3341,188,210,72,360,910,1337,3486,31,212,4001,986,1600,896,518,212,1505,399,81,80,400,469,3944,1454,2917,677,31,3439,518,778,58,886,151,9,341,143,762,202,1130,438,538,1547,2159,583,3387,719,846,1080,2038,776,428,605,414,869,11,822,3923,220,78,27,577,142,5170,1908,2,3008,117,156,20,35,39,1301
TCGA-56-A4BX-01,3604,2461,1083,10339,317,1064,696,3762,661,1154,238,45,177,392,439,613,1736,66,57,214,574,1180,436,4188,73,51,16126,1660,1062,998,1744,157,2428,216,103,6897,806,36,1583,159,743,1011,66,1625,1430,522,1449,1078,1,6,16,83,115,5,1837,218,103,7412,138,16,3069,146,691,113,1579,47,15,98,53,15968,27,79,30,24,12,8,2,24,1530,17,0,328,3,2,10,36,3,3
TCGA-56-A4BY-01,2169,1422,533,12628,453,1673,1777,5644,238,1288,771,312,2543,741,1520,587,4735,189,437,264,285,2573,1249,6692,178,72,8058,1172,818,1586,1020,447,1490,522,1296,23424,1222,259,11645,3148,1402,1621,16,432,2253,3551,537,552,234,20,96,261,810,503,47,554,273,7219,2090,457,2136,3882,66,535,725,740,64,4285,119,970,102,196,457,2968,86,2977,241,1197,752,317,5,1222,126,592,32,48,1,524
TCGA-56-A4ZJ-01,872,938,249,1939,194,3517,3166,1358,154,913,3648,2014,8278,8602,6774,922,9943,2250,4473,466,837,3626,4953,5003,556,4140,4420,1848,7110,7578,2846,824,3579,5416,3650,195,10197,4779,11322,4813,3965,3962,5,3546,3359,3414,416,5450,3600,18,1951,3601,3413,4429,582,1019,10448,6850,1596,18841,23157,4948,1678,7352,11367,25660,3874,20829,3135,2975,34,448,3111,3588,77,1407,9811,2579,3645,9626,36,3070,4705,51474,180,19,5,17643
