,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-486-1,hsa-mir-486-2,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-85-7843-01,7863,42107,33244,55,117,42,63,92,4,31757,1148,6,3,0,3,4,0,1,1
TCGA-85-7844-01,19960,118746,82556,203,182,1032,988,2425,22,165753,2863,40,70,1,29,2,8,0,2
TCGA-85-7950-01,15832,56444,53978,160,67,1441,1336,73,37,137119,1134,113,8,1,2,0,5,496,0
TCGA-85-8052-01,19626,97036,49513,116,145,238,228,123,13,69061,1531,33,5,0,28,0,1,1,1
TCGA-85-8070-01,29256,245633,155453,814,133,596,606,737,28,415587,456,11,0,0,0,0,1,1,0
TCGA-85-8071-01,32592,102554,111386,182,294,108,121,131,15,132814,551,51,6,0,0,4,1,0,0
TCGA-85-8276-01,4567,10332,14684,23,8,68,77,137,5,14765,284,19,0,3,0,0,0,0,0
TCGA-85-8288-01,7405,57955,26962,69,32,127,116,164,20,34972,617,16,3,0,1,0,0,45,0
TCGA-85-8350-01,10105,37850,28569,76,128,598,552,1167,8,62156,2597,50,4,1,8,0,1,1,10
TCGA-85-8479-01,6746,63598,30464,43,123,59,67,62,5,63515,857,7,0,0,0,0,0,0,0
TCGA-85-8481-01,5151,47948,47296,49,283,913,896,1209,10,71087,1604,22,28,0,0,1,0,0,0
TCGA-85-8584-01,4995,2476,23804,59,8,412,358,868,5,48308,3146,38,0,0,0,0,0,0,0
TCGA-85-A4CL-01,6559,83728,43983,232,8,46,37,73,3,110424,891,65,7,0,5,1,0,1,0
TCGA-85-A4CN-01,4632,53971,69139,176,16,36,36,32,7,114060,622,32,0,0,0,0,3,0,0
TCGA-85-A4JB-01,8197,49729,84202,250,327,499,476,959,42,128286,2334,97,3,0,0,0,0,1,2
TCGA-85-A4JC-01,8975,119829,35541,124,393,136,116,132,15,80516,9718,40,65,0,0,0,0,0,0
TCGA-85-A4PA-01,1327,703,3925,21,16,2424,2347,2878,8,14229,4120,21,0,0,1,0,1,0,1
TCGA-85-A4QQ-01,3437,94381,19618,60,802,169,165,182,4,40703,2226,3,12,0,0,0,3,0,0
TCGA-85-A4QR-01,8332,99393,129729,455,54,191,206,544,48,201096,1063,90,3,0,0,0,2,0,0
TCGA-85-A50M-01,8265,39324,58153,265,452,658,652,1344,4,168893,2286,99,222,7,0,0,0,0,0
TCGA-85-A50Z-01,7429,74255,60266,203,495,85,92,122,12,96611,4072,42,31,2,0,0,0,0,0
TCGA-85-A510-01,8974,3280,40515,126,1,1207,1178,2769,45,75099,2327,91,27,1,0,1,0,1,0
TCGA-85-A511-01,8126,46958,35249,95,70,53,50,69,7,66716,2096,49,4,0,0,0,0,0,0
TCGA-85-A512-01,8178,40978,65611,211,152,78,93,179,12,177518,1157,26,2,1,0,0,1,0,0
TCGA-85-A513-01,1507,597,15905,54,12,756,781,1119,5,44371,11613,15,110,5,1,1,0,1,0
TCGA-85-A53L-01,15553,74251,40930,113,33,174,145,258,16,73917,5137,28,139,1,0,0,0,1,0
TCGA-85-A5B5-01,6802,56025,80608,354,15,17,18,21,11,235140,689,13,15,0,3,0,1,1,0
TCGA-90-6837-01,1115,31,13097,14,2,3430,3507,3454,3,34760,22283,29,0,22,0,3,0,9,0
TCGA-90-7767-01,14963,160469,64283,120,43,371,360,831,41,90440,492,20,3,3,101,5,0,6,0
TCGA-90-7769-01,5488,60149,60575,148,52,102,105,232,15,86166,400,7,1,1,0,0,2,0,0
TCGA-90-A4ED-01,12679,97562,148374,881,22,678,712,752,7,588398,706,15,5,2,0,0,4,0,0
TCGA-90-A4EE-01,7048,29600,52477,132,2,126,135,198,4,95655,1332,49,1,0,2,1,1,9,0
TCGA-90-A59Q-01,3424,25714,9451,39,74,10,16,22,3,30755,6145,25,0,0,0,0,0,0,0
TCGA-92-8063-01,6439,34061,49410,89,191,79,65,102,5,66275,994,31,89,0,0,1,0,0,1
TCGA-92-8064-01,17263,20655,42064,73,258,146,124,219,11,61054,525,24,0,1,0,0,0,0,0
TCGA-92-8065-01,1143,25852,12755,18,506,79,65,93,0,21906,587,14,0,0,0,0,0,0,0
TCGA-94-7033-01,11558,25498,28533,85,1412,121,99,255,18,38885,1670,38,1,0,0,0,0,0,2
TCGA-94-7557-01,10843,79021,20551,49,1,76,99,162,8,33820,1307,26,0,0,0,0,1,0,0
TCGA-94-7943-01,7122,27542,89387,204,1,320,336,1008,20,181078,2257,32,0,4,0,0,0,0,0
TCGA-94-8035-01,12861,139757,54241,68,210,198,231,248,20,58937,2345,7,8,0,0,0,0,0,1
TCGA-94-8490-01,6614,58874,45179,81,7,341,342,423,8,63646,1651,5,0,0,1,0,0,0,0
TCGA-94-8491-01,884,88905,49456,118,23,721,740,751,6,94849,3062,23,0,16,1,5,0,0,0
TCGA-94-A4VJ-01,11057,149142,14806,38,2530,209,228,282,21,29925,2507,64,6,0,0,0,0,0,0
TCGA-94-A5I4-01,17820,74114,89567,384,37,134,131,244,18,285345,2831,66,0,0,0,0,1,0,1
TCGA-94-A5I6-01,7889,46817,129407,176,52,83,76,271,19,284483,2832,48,6,0,9,0,57,1,9
TCGA-96-7544-01,7322,66074,48508,97,36,151,155,378,12,70486,975,23,0,0,1,2,0,1,0
TCGA-96-8169-01,784,24362,19706,25,78,129,118,159,7,31633,514,14,23,1,0,0,0,0,0
TCGA-96-8170-01,1641,20425,9181,32,3,90,107,85,4,17076,443,6,1,1,0,0,0,0,0
TCGA-96-A4JK-01,10180,56180,50485,146,5,181,147,335,5,115141,3389,23,0,0,1,0,0,1,0
TCGA-96-A4JL-01,1838,118058,140230,673,42,672,616,1382,5,503020,4661,63,0,0,11,3,0,0,0
TCGA-98-7454-01,2241,10569,9413,16,316,133,108,285,2,15886,3421,10,0,0,0,0,0,0,0
TCGA-98-8022-01,2572,57689,38702,125,168,224,235,405,5,93788,2788,23,1,1,1,1,0,0,13
TCGA-98-8023-01,3733,54158,20405,91,10,119,110,144,4,41430,879,8,3,0,0,1,0,0,0
TCGA-98-A538-01,22909,27899,29082,103,273,20,9,26,6,38763,1068,41,5,1,0,0,0,0,0
TCGA-98-A539-01,12019,42177,48952,225,128,531,529,834,12,106289,4390,25,0,0,0,0,1,0,0
TCGA-98-A53A-01,4092,102662,12761,46,53,20,16,31,12,21688,1262,8,0,1,6,0,2,0,0
TCGA-98-A53B-01,7790,73162,78140,179,2,300,298,467,12,141298,2137,63,0,2,0,0,0,2,0
TCGA-98-A53C-01,1476,2644,12015,39,12,1623,1489,2729,4,33072,14129,18,0,4,0,0,0,0,0
TCGA-98-A53D-01,1103,445,6449,38,7,790,763,1407,3,18229,10344,33,1,7,0,0,0,0,0
TCGA-98-A53H-01,809,9002,10858,70,41,1716,1668,2164,3,31550,8415,33,3,0,2,1,0,2,0
